Basque (eu),Spanish (es),Traduccion
Gogor sakatzen du eta medikua behar nuen.,"Porque él había golpeado con tanta fuerza, que necesitaba un médico. Juez:",Presiona fuerte y necesité un médico.
Medikuak esan du asteak eraman behar dituela horrela.,El doctor dice que se estaba gestando hace semanas.,El médico ha dicho que tiene que pasar semanas así.
"Medikuari deitu zioten, txikia, burusoila, betaurrekoekin eta baztertu egin ninduten gortina itxita.","Un doctor fue llamado. Bajo, calvo, con gafas, y fui excluido al colocar las cortinas.","Llamaron al médico, bajo, calvo y con gafas, y me rechazaron con la cortina cerrada."
"Zelatatu egin nuen,  eta medikuari entzun nion xuxurlatzen:","Esperé, me oculté, como dijo Edgar. Y oí al doctor susurrar:","Espié, y oí al médico susurrar:"
Medikuak gelaxka batera eraman ninduen plakaz betea odolez zikindutako hesgailuz betea.,El doctor me llevó a una sala pequeña llena de trastes de peltre llenos de vendajes ensangrentados.,El médico me llevó a una habitación llena de placas y vendajes manchados de sangre.
Medikuak esan zuen sokaren azken muturra zuela eta listuta zuela.,El doctor dijo que era su fin.,El médico dijo que tenía el último extremo de la cuerda y que lo tenía listado.
Medikuari arazoen berri eman behar zenion.,Debió decirle al doctor sobre los problemas.,Le tenías que haber contado los problemas al médico.
Medikuak.,Doctores.,Los médicos
Medikuak?,- ¿Doctores?,Los médicos?
Asko kostatu zaigu topatzea aholkua baino gehiago emango digun medikua.,Ha sido difícil encontrar a un médico que compartiera algo más que su consejo.,Nos ha costado mucho encontrar un médico que nos dé más que consejo.
Zure senargai medikuak pobrezian utziko ditu zure umeak?,"Oh, ¿y tu novio doctor va a permitir que tus hijos se conviertan en mendigos?",¿Tu prometido médico dejará a tus hijos en la pobreza?
Medikua zara?,¿Es usted médico?,¿Eres médico?
Zure kidea medikua da proiektuan. Eta zu izango zinateke...,"Entonces, su compañero es el doctor de toda la operación, y eso la convierte a usted en...",Tu compañero/a es médico/a en el proyecto. ¿Y tú serías...?
"Medikua zarenez, badakit dakizula...","Bueno, como doctora, estoy seguro de que sabe...","Como eres médico, sé que sabes..."
Ez naiz medikua.,No soy doctora en Medicina.,No soy médico.
"Ez naiz medikua, eta sintomak lausoak dira baina malaria bada eta larri badago, baja mediku bat eskura dezake.","No soy médico, y los síntomas son vagos pero si es malaria y está grave, le pueden dar una baja médica.","No soy médico, y los síntomas son vagos, pero si es malaria y es grave, puede obtener una baja médica."
"Orduan, nire medikuak sekretuan intseminatu ninduen Billen esperma arrastoa erabiliz, eta zeruko opari baten gisa, funtzionatu egin zuen.","Así que hice que mi médico me inseminara en secreto usando... lo que quedaba del esperma de Bill, y... como un regalo del cielo, funcionó.","Entonces, mi médico me inseminó en secreto usando un rastro del esperma de Bill, y como un regalo del cielo, funcionó."
"Hitzematen dizut, Keith medikua izateak ez duela arintzen nire trebetasuna ulertzeko sufrimendu mota hau.","Le prometo, Keith que ser médico no mitiga mi habilidad para entender este tipo de sufrimiento.","Te prometo, que Keith sea médico no alivia mi habilidad para entender este tipo de sufrimiento."
"Maitea, bera medikua da zinema izarraren aurpegia duena eta Graziako jainkoaren gorputza.","Cariño, él es médico con cara de estrella de cine y el cuerpo de un dios griego.","Querido/a, él es un médico que tiene la cara de estrella de cine y el cuerpo de un dios griego."
"Zu medikua zara, ez?","Usted es doctor, ¿verdad?","Tú eres médico, ¿no?"
Zer pentsatuko dute entrenatzaile sendo eta handi bati buruz medikuan txerto bat jarri behar diotenean begiak itxi eta txistu egin behar badu?,"Es decir, ¿qué van a pensar? Este entrenador de fútbol, grande, duro que cada vez que va al médico tiene que cerrar los ojos y silbar una canción cuando le ponen una inyección.",¿Qué pensarán de un entrenador fuerte y grande si tiene que cerrar los ojos y silbar cuando le tengan que poner una vacuna en el médico?
Tori. Zu zara medikua.,Toma.,Aquí tienes. Tú eres el médico.
- Medikua da.,- Es doctor.,Es médico.
Nire senarra medikua da.,Mi marido es médico.,Mi marido es médico.
Nire medikua berarekin dago?,- ¿La está atendiendo mi galeno?,¿Está mi médico con él/ella?
Eskerrak norbaitek aurkitu... eta medikuarengana eraman ninduela.,Quiso la suerte que me encontrase alguien y me llevase a un galeno.,Menos mal que alguien me encontró y me llevó al médico.
Zuk ere medikua izan nahi duzu?,¿Usted también quiere ser doctora?,¿Tú también quieres ser médico?
"(NICOLE) Batzuek guraso medikuak dituzte, laguntzen dietenak.","Algunos, los padres son médicos y ayudan.",Algunos tienen padres médicos que les ayudan.
"Ez naiz medikua, baina arropa garbitzen diot, janaria prestatzen.","No soy médica, pero... La cuido, preparo la comida, hago muchas cosas por ella.","No soy médico, pero le lavo la ropa, le preparo la comida."
"(MEDIKUA) Ahul samarra, baina ez da kezkagarria.","Es muy baja, pero... nada alarmante.","Un poco débil, pero no es preocupante."
(MEDIKUA) -Eser zaitez.,"- Nesrine, ¿se puede sentar aquí?",Siéntese.
"(MEDIKUA) Landareak aginduko dizkizut, lasaiago egon zaitezen. (MEDIKUA) Eta bitaminak ere bai.","Le voy a recetar algo para relajarse, y vitaminas, también.","(MÉDICO) Te recetaré plantas medicinales, para que estés más tranquilo/a. (MÉDICO) Y vitaminas también."
(MEDIKUA),- No.,Médico
(MEDIKUA),- Tome.,Médico
(MEDIKUA) Eutsi! Gogotik saiatu.,Resiste y es dedicada.,(MÉDICO) ¡Aguanta! ¡Esfuérzate al máximo!
"(MEDIKUA) Buruz ikasten baldin badakizu, lehen urtea aprobatuko duzu.","Y sabe memorizar bien, ya pasó el primer año.","Si sabes aprender de memoria, aprobarás el primer año."
"(MEDIKUA) Asko ikasi behar da buruz, baina ez dago ezinezkorik.","Hay que memorizar mucho, pero nada es imposible.","Hay que aprender mucho de memoria, pero no hay nada imposible."
(MEDIKUA) Niretzat ere oso gogorra izan zen bost hilabetetan.,Para mí también los cinco primeros meses fueron duros.,También para mí fue muy duro durante cinco meses.
"(MEDIKUA) Pixka bat deprimitzen zara, baina normala da. Buruak eutsi behar dio orduan.",La depresión comienza a aparecer pero... es justamente con la cabeza que es necesario resistir.,"(MÉDICO) Te deprimes un poco, pero es normal. La cabeza tiene que aguantar entonces."
(MEDIKUA) Ez ezazu utzi!,"- No abandone. - Sí, sí.",No lo dejes.
(MEDIKUA) -Zatoz. Tentsioa hartuko dizut?,- ¿Vemos su presión?,(MÉDICO) -Ven. ¿Te tomo la tensión?
(MEDIKUA) Urduri samar ikusten zaitut zu ere.,"- Parece un poco tensa, también.",A ti también te veo un poco nervioso.
(MEDIKUA) Eser zaitez.,"- Sí. Remangue la manga, de pie.",(MÉDICO) Siéntate.
(MEDIKUA) Hara! Ontzi komunikatuak zarete zuek.,Las dos son vasos comunicantes.,(MÉDICO) ¡Vaya! Ustedes son vasos comunicantes.
(MEDIKUA) Batarena bestearengana doa:,Una pasa para la otra.,Lo de uno va a lo del otro.
(MEDIKUA) -Hori da.,- Eso mismo.,Eso es.
(MEDIKUA),Más descanso.,MÉDICO
"(MEDIKUA) Ez dakit zer gehiago egin dezakedan, Fatima.","No veo nada más que se pueda hacer, Fatima.","(MÉDICO) No sé qué más puedo hacer, Fátima."
(MEDIKUA) Zazpi hilabetetik gora egin dituzu.,Ya hace más de 5 meses.,Has cumplido más de siete meses.
"Badakit, baina... (MEDIKUA) Ezin dizut luzatu, erradiografian ez baita ezer ageri.","Yo sé, más... No puedo prolongar la licencia pues ellos tendrán las radiografías. ¿Entiende?","Lo sé, pero... (MÉDICO) No puedo prolongártela, porque no aparece nada en la radiografía."
"(MEDIKUA) Ez dago ez hausturarik, ez urraturik.","No hay fractura, ni fisuras.",(EL MÉDICO) No hay ni fractura ni desgarro.
"MEDIKUA) Fatima, sinesten dizut. Baina ezin dut gauza handirik egin.","Fatima, yo le creo, pero no puedo hacer nada más.","MÉDICO) Fátima, te creo. Pero no puedo hacer gran cosa."
(MEDIKUA) Orain lan-medikuarengana joan behar duzu.,Ahora habrá que ver el trabajo de los médicos.,Ahora tienes que ir al médico del trabajo.
(MEDIKUA) Pierre-Béniteko medikuak luzatuko dizu edo ez.,Y el médico especializado podrá autorizar o no.,El médico de Pierre-Bénite te lo dará o no.
"Bai, baina... (MEDIKUA) Baduzu telefonoa.","- Sí, pero... - Tiene el número de teléfono.","Sí, pero... (EL MÉDICO) ¿Tienes el teléfono?"
"(LAN-MEDIKUA) Erradiografiak ikusita, ezin dizut gaixoaldia gehiago luzatu.","Considerando las radiografías, la licencia no se justifica más.","Vistas las radiografías, no puedo prolongarte la baja médica más."
"(LAN-MEDIKUA) Baina, zeharbidez, hilabeteko geldialdia egingo dizut.","Pero, encontraremos una manera. Le daré otro mes y después irá a ver a la Dra. Keltoum Merbaki.","Pero, de paso, te daré un mes de descanso."
(LAN-MEDIKUA) Eta gutun bat egingo dizut Mebarki doktorearentzat.,"Está en la calle Masnot, 60.",Y te haré una carta para el doctor Mebarki.
(LAN-MEDIKUA) Zoaz astelehenean.,"La va a ver el Lunes. Ella habla Árabe, veremos lo que pasa.",Ve el lunes al médico del trabajo.
Gure New Yorkeko medikuari bidal diezazkiokezu.,Entendido.,Puedes enviárselos a nuestro médico de Nueva York.
Esan dizuet gure medikuari bidaltzeko.,No voy a pagar por nada más...,Les he dicho que se lo envíen a nuestro médico.
Medikua zara?,"Lo siento, ¿es usted médico? No, señor, no lo soy.",¿Eres médico?
Nire emaztea medikua da.,Mi mujer es médico. Estaré bien.,Mi mujer es médica.
Erregearen medikua berehala!,"¡El médico del rey, inmediatamente!","¡El médico del rey, inmediatamente!"
Zure medikua etorri da.,Vuestro médico está aquí.,Tu médico ha venido.
Joan nire medikuaren bila!,Trae a mi galeno.,¡Ve a buscar a mi médico!
Abisatu medikua heltzen denean.,Avisadme cuando el galeno haya llegado.,Avisa cuando llegue el médico.
Igual medikua ikusi beharko duzu.,Quizás vea un médico.,Igual tendrás que ver al médico.
Medikuak  nire gaixotasuna sendatzen zuen.,El medico... curó mi enfermedad.,El médico curaba mi enfermedad.
Medikua?,¿Una médica?,¿El médico?
Baina ni medikua naizenez... badakit nahi gabeko tik bat edo gasen ondorioa izan dela.,"Pero, como soy médica, sé que seguramente fue un reflejo involuntario o un gas.",Pero como soy médico... sé que ha sido un tic involuntario o la consecuencia de gases.
Medikua. Pilulak lortzeko aukera.,Acceso a píldoras.,Doctor. Opción de conseguir pastillas.
Medikua naiz eta oso nekatuta nago.,Soy médica y estoy muy cansada.,Soy médico y estoy muy cansado.
Zu medikua izatea zoragarria da.,Me fascina que seas médica.,Es maravilloso que seas médico.
Medikua iritsi da.,Ha llegado el médico.,El médico ha llegado.
Joan kapitainarekin medikuarengana.,Seguid al capitán hasta la zona médica.,Ve con el capitán al médico.
Medikuaren gorpua aurkitu dute duela ordubete.,Han encontrado el cadáver de su médico hace una hora.,Han encontrado el cuerpo del médico hace una hora.
"Rone, eremu medikuan behar zaitugu.","Rone, te necesitamos en el área médica.","Rone, te necesitamos en el campo médico."
"Lasterka egin herrira, eta ekarri medikua.","Ve al pueblo por el doctor. Rápido, ve.",Corre al pueblo y trae al médico.
Zoaz medikuarengana.,- Deberías ver al médico.,Ve al médico.
"Zure emaztea, zure ama, zure aita, zure seme-alabak... zure arreba, zure anaia... zure izebak, lehengusu-lehengusinak... zure lankideak, nagusiak, laneko lagunak... errugbi taldekoak, Rotary klubekoak... autoa erosi zenion morroia, medikua... dentista, Amberren pianoko maisua.","Tu esposa, tu madre, tu padre, tus hijos. Tu hermana, tu hermano. Tus tías, tus primos.","Tu esposa, tu madre, tu padre, tus hijos... tu hermana, tu hermano... tus tías, primos y primas... tus compañeros de trabajo, jefes, amigos del trabajo... los del equipo de rugby, los del club Rotary... el muchacho al que le compraste el coche, el médico... el dentista, el profesor de piano de Amber."
- Medikua al zara?,- ¿Usted es médico?,¿Eres médico?
"Medikua da, ulertuko du.","Es médica, podría entenderlo.","Es médico, lo entenderá."
"- Utzi, medikua naiz.","- Permítame, soy médica.","Déjame, soy médico."
"Medikua naiz, ez kezkatu.","Soy médico, no se preocupe.","Soy médico, no te preocupes."
"Lasai, medikua naiz.","Tranquilícese, soy médica.","Tranquilo, soy médico."
- Utzi medikuari lanean!,- ¡Deja hacer a la doctora!,¡Dejen trabajar al médico!
"Ziurtagiri medikoa behar dut, Kontseilu Medikuarentzat.",Necesito un certificado médico para el Consejo Médico.,Necesito un certificado médico para el Consejo Médico.
Departamenduak laguntzen du Europar Batasuneko medikuak ekartzen.,El departamento también colabora instalando médicos de la U.E.,El departamento ayuda a traer a los médicos de la Unión Europea.
"Urgentzia baterako, guardiako medikuak 40 km egin behar ditu","En una urgencia, el médico de guardia debe hacer 40 Km.","Para una urgencia, el médico de guardia tiene que hacer 40 km."
"Bravo November 45, Crow Wood parkean nago... Balizko suizida baten heriotza berretsi du anbulantziako medikuak.","Bravo noviembre 45, Estoy en Crow Wood Park, sospecha de suicidio ha confirmado la muerte por el paramédico.","Bravo November 45, estoy en el parque Crow Wood... El médico de la ambulancia ha confirmado la muerte de un posible suicida."
Esan medikuak eta poliziak behar ditugula.,Que envíen personal médico y a la policía.,Di que necesitamos médicos y policías.
Medikuak eta adituak dauzkagu.,"Contamos con médicos, comunicaciones, expertos en logística.",Tenemos médicos y expertos.
Medikua naiz.,Soy doctor.,Soy médico.
Medikua. Medikua.,Soy el médico. ¿Médico?,El médico. El médico.
- Medikua. Ez.,- Trae al médico.,El médico. No.
ERABILI MEDIKUAK ESANDAKOARI JARRAIKI.,USAR SOLO SEGÚN LAS INSTRUCCIONES DE SU MÉDICO,Utilice según lo indicado por el médico.
- Ez gara medikuak.,- No somos médicos.,No somos médicos.
Medikuak ez du azterketa bukatu. Ezin dizut pasatzen utzi...,"El doctor no ha terminado de examinarla, no puedo dejarla entrar.",El médico no ha terminado el examen. No puedo dejarte pasar...
Medikuaren agindua da.,Órdenes del médico.,Es la orden del médico.
Hau... Medikua al zara?,¿Tú eres... ¿Eres doctora?,Esto... ¿Eres médico?
"Kino, medikua behar du.","Kino, necesita un médico.",Kino necesita un médico.
JERICHOKO KONDERRIKO AUZITEGI -MEDIKUA R. ANWAR DOKTOREA,MÉDICO FORENSE DEL CONDADO DE JERICÓ DOCTOR R. ANWAR,"Doctor R. Anwar, médico forense del Condado de Jericó."
"Argia beharko luke, eta non moztu jakin, baina ez luke medikua edo kirurgialaria izan behar.","Necesitaría mucha luz y saber dónde cortar, pero no tendría que ser médico ni cirujano.","Debería ser claro y saber dónde cortar, pero no debería ser médico o cirujano."
Medikua.,El médico.,Médico
Medikua eta biok honen bila genbiltzan.,El buen doctor y yo lo buscábamos.,El médico y yo estábamos buscando esto.
Baina poztuko zara medikuak dimisioa aurkeztu duela jakiteaz.,Pero le complacerá saber que nuestro buen doctor ha presentado su renuncia.,Pero te alegrarás de saber que el médico ha presentado la dimisión.
- Borrokako medikua!,- ¡Médico de combate!,¡Médico de combate!
"Bai, borrokako medikua.","Sí, era médico de combate.","Sí, médico de combate."
"Tonyren pneumonia tratatu zuenean, zure obstetra medikuak antibiotikoak eman zizkion.","Cuando trataron a Tony por neumonía, al parecer, su obstetra le dio antibióticos.","Cuando tu médico obstetra trató la neumonía de Tony, le dio antibióticos."
Zoaz pikutara. Ez zara medikua!,Vete a la mierda. ¡No eres médico!,¡Vete al carajo! ¡No eres médico!
AUZITEGIKO MEDIKUAREN OHARPENA MILWAUKEEKO KONDERRIA,PELIGRO CONDADO DE MILWAUKEE,Informe del médico forense del Condado de Milwaukee
"Orduan, medikuari somniferoak eskatu beharko dizkiogu.","Pues iremos al médico, así te da pastillas para dormir.","Entonces, tendremos que pedirle somníferos al médico."
Medikuaren aginduak bete. Neuk zainduko dut sir Clifford.,"Usted siga las indicaciones del médico, y yo cuidaré a sir Clifford.",Cumple las órdenes del médico. Yo cuidaré a sir Clifford.
Medikuak ondo osatzen ari dela dio.,"Según el médico, su mejoría es notable.",El médico dice que se está recuperando bien.
Medikuak esan du ez dela hilko. Asko falta dela.,El doctor ha dicho que aún le queda mucho tiempo.,El médico ha dicho que no morirá. Que falta mucho.
Medikua behar duzu.,"Necesitas un médico, ¿sí?",Necesitas un médico.
"Medikuak lo egin behar nuela zioen, baina oso mingarria zen.","Y el médico me decía que debía dormir, pero tenía mucho dolor.","El médico decía que tenía que dormir, pero era muy doloroso."
"Azkura ematen badizu edo gorri jarriz gero, zoaz medikuarenera.","Si te llegara a picar o te da urticaria, ve al médico.","Si te pica o se pone rojo, ve al médico."
Medikuarengana eraman behar zaitugu.,Tenemos que conseguirte un médico.,Tenemos que llevarte al médico.
Hitzordua nuen medikuarekin.,Fui al médico.,Tenía una cita con el médico.
"Ordenagailuak maite ditut, baina nire gurasoek nahi dute medikua izatea,","Me encanta la informática, pero mis padres quieren que sea médico,","Amo los ordenadores, pero mis padres quieren que sea médico."
Uste dut medikuarenera era man beharko nauzula.,Necesito que me lleves al médico.,Creo que me tendrás que llevar al médico.
"Ez al daukazu medikuaren Baja, Tommy?","¿No estabas de baja, Tommy?","¿No tienes la baja del médico, Tommy?"
"Medikuak ikusten badu, esan beharko diogu.","Si la ve el médico, habrá que explicarlo.","Si el médico lo ve, tendremos que decírselo."
Batez ere medikuak ikusteko gai dela jakiten duenean.,Más tendremos que explicar cuando vaya a la próxima revisión.,Especialmente cuando sabe que puede ver al médico.
"Ez naiz medikua, baina zure benetako gorputzarentzat ez da batere ona izango hori.","No soy médico, Conner, pero no creo que tu cuerpo real, este cuerpo, reaccionara muy bien.","No soy médico, pero eso no será nada bueno para tu verdadero cuerpo."
Hartu ezazu medikuaren baja.,Coge la baja que te ofrecen.,Coge la baja del médico.
"Poltaren krisia tratatzen dabilen medikuak ""lobulu okzipitaleko bakterio infekzio lokalizatua"" aurkitu du.","La doctora que está tratando a la polt ha buscado ""infecciones bacterianas localizadas en el lóbulo occipital"".","El médico que está tratando la crisis de Polta ha encontrado ""una infección bacteriana localizada en el lóbulo occipital""."
Medikuak esan dizu zer aukera duen bizirauteko?,¿El médico ha dicho qué probabilidad tiene de sobrevivir?,¿El médico te ha dicho qué posibilidades tiene de sobrevivir?
Medikua?,¿Hay médicos?,¿Médico?
"Baina... ama ondoezik jarri zen, eta medikuari ordaindu behar izan nion.",Es que mi madre se enfermó y tuve que pagarle a un médico.,"Pero... mi madre se puso enferma, y tuve que pagarle al médico."
Medikuak goizegi dela esan du.,El médico dijo que era muy pronto.,El médico ha dicho que es demasiado pronto.
Ez zait medikuak esan duena axola.,No me importa lo que haya dicho.,No me importa lo que ha dicho el médico.
Lan egiteari utzi eta baja medikua hartu beharko duzu.,Y tendrás que dejar de trabajar. Tomarte licencia médica.,Tendrás que dejar de trabajar y coger la baja médica.
"Zaintzen nauten medikuak ditut. Laster, normal sentituko naiz.","Tengo doctores que me cuidan, y pronto me sentiré normal.",Tengo médicos que me cuidan. Pronto me sentiré normal.
Medikuaren agintea.,Órdenes del doctor.,La autoridad del médico
Medikuak?,- ¿El doctor?,¿Los médicos?
Ez zara ez neskaren ama ez bere medikua.,No es la madre de la niña ni su médico.,No eres ni la madre de la niña ni su médico.
Deitu medikuari.,Busquen al doctor.,Llama al médico.
Medikuari agindu diote haiek artatzeko lehenik.,Los doctores tiene la orden de atenderlos a ellos primero.,Le han ordenado al médico que los atienda primero.
Nolatan lortu duzu medikua?,¿Cómo lograste traer un doctor aquí?,¿Cómo has conseguido al médico?
Medikua behar du.,Necesita un médico.,Necesita un médico.
Nire emazteak mina dauka eta ez du ondo arnasa hartzen eta medikuak etorriko dela esan du baina bi ordu igaro dira jada.,"Es mi mujer. Le duele un poco y no respira bien, y una doctora dijo que la vería, pero ya han pasado dos horas.",Mi esposa tiene dolor y no respira bien y el médico dijo que vendría pero ya han pasado dos horas.
Medikua izan nahi zenuen?,¿Tú querías ser médico?,¿Querías ser médico?
Medikuak zarete biok.,Ambos son médicos.,Ambos sois médicos.
Medikua da.,También es médico.,Es médico.
"Medikuak, pazienteak, Beverly.","Los médicos, las pacientes, Beverly.","Los médicos, los pacientes, Beverly."
"Berandu deitu zioten medikuari, eta iritsi zenerako haurra hilda zegoen.","Llamaron tarde al médico y, cuando llegó, el bebé había muerto.","Llamaron tarde al médico, y para cuando llegó, el niño estaba muerto."
"Beraz, emakumeak eta medikuak elkarrekin lan egin zuten.",Así que ella y el médico trabajaron juntos.,"Por lo tanto, las mujeres y los médicos trabajaron juntos."
Medikuak eta emakume gazteak 30 ebakuntza burutu zituzten.,El médico y la joven realizaron 30 intervenciones distintas.,Los médicos y las mujeres jóvenes realizaron 30 operaciones.
"Hogeita hamar ebakuntza eta gero, medikuak konpondu egin zuen.",Treinta intervenciones distintas para resolverlo y el médico lo resolvió.,"Después de treinta operaciones, el médico lo arregló."
Medikuak zaretela berretsi nahi du.,Pregunta para confirmar que solo sois médicas.,Quiere confirmar que son médicos.
"Nire aita medikua da, berak hezi gintuen.",Mi padre es médico y nos ha criado.,"Mi padre es médico, él nos educó."
"Medikua zara, lortu hobea.",Eres doctora. Pilla algo bueno.,"Eres médico, consigue ser mejor."
Gure medikua balitz bezala.,Nos ha hecho un diagnóstico Mantle.,Como si fuera nuestro médico.
"Nire ama hil egin zela esan zion medikua, minutu batzuk baino ez zituen alabak bere emaztea hil zuela esan zion medikua, oso-oso gaztea zela.","Que la médica que dijo que mi madre había muerto, la médica que le dijo que su hija, recién nacida, había matado a su mujer, era muy joven.","El médico le dijo que mi madre había muerto, que su hija, que apenas tenía unos minutos de vida, había matado a su esposa, y que era muy, muy joven."
"Gozokiekin konbentzitu ohi dugu, baina medikuak azukrea mozteko agindu digu.","Siempre la chantajeamos con dulces. Pero el doctor indicó que no comiera azúcar, así que...","Solemos convencer con dulces, pero el médico nos ha mandado cortar el azúcar."
Medikuak azterketa egin behar dizu.,"Señorita, deje que el médico la revise.",El médico tiene que hacerte un examen.
"Medikuak esan dit erabateko mugikortasuna daukadala, ez nukeela orbaindu ere egin behar.",El médico dijo que puedo extenderlo totalmente y que quizá no quede cicatriz.,"El médico me ha dicho que tengo movilidad total, que ni siquiera debería tener que cicatrizar."
"Hori esan zuen mari-zikinak, eta hori esan nion nik medikuari.",Eso me dijo ella. Así se llama mi vídeo porno. Eso le dije al médico.,"Eso dijo la María sucia, y eso le dije yo al médico."
"Gogoratzen aldi hura Oscar bizkar gainean eraman zenuenean eta erori eta negarrez eta garrasika hasi zenean eta, puntuak jartzeko unean, medikuak eusteko eskatu zidanean?","¿Recuerdas cuando eras pequeña, llevabas a Oscar a caballito, se cayó, empezó a llorar y a gritar y el médico me pidió que lo sujetara mientras le ponía agujas?","¿Recuerdas aquella vez que llevaste a Oscar a cuestas y se cayó y empezó a llorar y gritar, y, a la hora de ponerle los puntos, el médico me pidió que lo sujetara?"
Baina nire lagun medikuak arriskuak egon daitezkeela esan dit.,Pero tengo un amigo médico y me dijo que había riesgos.,Pero mi amigo médico me ha dicho que puede haber riesgos.
"Onartzen baduzu, medikuak dena prestatzen hasiko dira Romiren immunitate-sistema indargabetzeko.","Si dices que sí, los médicos lo pondrán todo en marcha y alterarán su sistema inmunológico.","Si lo aceptas, los médicos empezarán a preparar todo para debilitar el sistema inmunitario de Romi."
Medikuak poz-pozik daude.,Los médicos están contentos.,Los médicos están muy contentos.
- Horixe esan zenion medikuari.,- Eso le dijiste al médico.,Eso mismo le dijiste al médico.
"Ez naiz medikua, baina igeltsu hau gozo-gozoa dago.","No practico la medicina, pero este yeso se ve exquisito.","No soy médico, pero este yeso está delicioso."
"""Ondo""? Medikuarengana eraman zaitudalako.",Estás bien porque te llevé al médico.,¿Bien? Porque te he llevado al médico.
"Medikua zara, badakizu ez dela oso osasuntsua.","Eres médica, sabes que no se cuida nada.","Eres médico, sabes que no es muy saludable."
Medikuak idatzi arte itxarongo dugu.,Esperamos a que llame el médico.,Esperaremos hasta que el médico escriba.
Medikuaren berriren bat?,¿Alguna noticia del médico?,¿Alguna noticia del médico?
- Bai. Hauek medikuarengana doaz gero.,Estos van al médico después.,Sí. Ellos van al médico después.
Medikuaren kontua konponduta dago.,Me he encargado del médico.,El asunto del médico está resuelto.
"Ni kanpoan nengoela inon egon zaren galdetzen badizu norbaitek, esan medikuarenera joan zinela, ados?","Si te preguntan si fuiste a algún sitio mientras yo no estaba, tú di que fuiste al médico. ¿Vale?","Si alguien te pregunta dónde estuviste mientras yo estaba fuera, di que fuiste al médico, ¿de acuerdo?"
"Medikua naiz, eta jendea sendatzen dut.","Sabes que soy médica, ¿no? Curo a personas.","Soy médico, y curo a la gente."
"Aditzera emango duzu Ludmilla printzesak, gorteko medikuaren gomendioz, hilabeteak ohean pasa behar dituela.","Anunciarán que la princesa Ludmilla, por consejo del médico de la corte, debe quedarse en cama muchos meses.","Informarás que la princesa Ludmilla, por recomendación del médico de la corte, debe pasar meses en cama."
"Gure medikua, Putziger irakaslea.","Nuestro médico, el profesor Putziger.","Nuestro médico, el profesor Putziger."
"Medikua zara, badakizu zer gertatuko den.","Es médico, sabe lo que está pasando.","Eres médico, sabes qué va a pasar."
Mugarik Gabeko Medikuak.,Médicos Sin Fronteras.,Médicos Sin Fronteras
Medikua deituko dut.,Llamaré al médico.,Llamaré al médico.
Medikua bidean da.,Ya viene.,El médico está en camino.
