Basque (eu),Spanish (es),es_traduction
Baina poztuko zara medikuak dimisioa aurkeztu duela jakiteaz.,Pero le complacerá saber que nuestro buen doctor ha presentado su renuncia.,Erreur
- Borrokako medikua!,- ¡Médico de combate!,Erreur
"Bai, borrokako medikua.","Sí, era médico de combate.",Erreur
"Tonyren pneumonia tratatu zuenean, zure obstetra medikuak antibiotikoak eman zizkion.","Cuando trataron a Tony por neumonía, al parecer, su obstetra le dio antibióticos.",Erreur
Zoaz pikutara. Ez zara medikua!,Vete a la mierda. ¡No eres médico!,Erreur
AUZITEGIKO MEDIKUAREN OHARPENA MILWAUKEEKO KONDERRIA,PELIGRO CONDADO DE MILWAUKEE,Erreur
"Orduan, medikuari somniferoak eskatu beharko dizkiogu.","Pues iremos al médico, así te da pastillas para dormir.",Erreur
Medikuaren aginduak bete. Neuk zainduko dut sir Clifford.,"Usted siga las indicaciones del médico, y yo cuidaré a sir Clifford.",Erreur
Medikuak ondo osatzen ari dela dio.,"Según el médico, su mejoría es notable.",Erreur
Medikuak esan du ez dela hilko. Asko falta dela.,El doctor ha dicho que aún le queda mucho tiempo.,Erreur
Medikua behar duzu.,"Necesitas un médico, ¿sí?",Erreur
"Medikuak lo egin behar nuela zioen, baina oso mingarria zen.","Y el médico me decía que debía dormir, pero tenía mucho dolor.",Erreur
"Azkura ematen badizu edo gorri jarriz gero, zoaz medikuarenera.","Si te llegara a picar o te da urticaria, ve al médico.",Erreur
Medikuarengana eraman behar zaitugu.,Tenemos que conseguirte un médico.,Erreur
Hitzordua nuen medikuarekin.,Fui al médico.,Erreur
"Ordenagailuak maite ditut, baina nire gurasoek nahi dute medikua izatea,","Me encanta la informática, pero mis padres quieren que sea médico,",Erreur
Uste dut medikuarenera era man beharko nauzula.,Necesito que me lleves al médico.,Erreur
"Ez al daukazu medikuaren Baja, Tommy?","¿No estabas de baja, Tommy?",Erreur
"Medikuak ikusten badu, esan beharko diogu.","Si la ve el médico, habrá que explicarlo.",Erreur
Batez ere medikuak ikusteko gai dela jakiten duenean.,Más tendremos que explicar cuando vaya a la próxima revisión.,Erreur
"Ez naiz medikua, baina zure benetako gorputzarentzat ez da batere ona izango hori.","No soy médico, Conner, pero no creo que tu cuerpo real, este cuerpo, reaccionara muy bien.",Erreur
Hartu ezazu medikuaren baja.,Coge la baja que te ofrecen.,Erreur
"Poltaren krisia tratatzen dabilen medikuak ""lobulu okzipitaleko bakterio infekzio lokalizatua"" aurkitu du.","La doctora que está tratando a la polt ha buscado ""infecciones bacterianas localizadas en el lóbulo occipital"".",Erreur
Medikuak esan dizu zer aukera duen bizirauteko?,¿El médico ha dicho qué probabilidad tiene de sobrevivir?,Erreur
Medikua?,¿Hay médicos?,Erreur
"Baina... ama ondoezik jarri zen, eta medikuari ordaindu behar izan nion.",Es que mi madre se enfermó y tuve que pagarle a un médico.,Erreur
Medikuak goizegi dela esan du.,El médico dijo que era muy pronto.,Erreur
Ez zait medikuak esan duena axola.,No me importa lo que haya dicho.,Erreur
Lan egiteari utzi eta baja medikua hartu beharko duzu.,Y tendrás que dejar de trabajar. Tomarte licencia médica.,Erreur
"Zaintzen nauten medikuak ditut. Laster, normal sentituko naiz.","Tengo doctores que me cuidan, y pronto me sentiré normal.",Erreur
Medikuaren agintea.,Órdenes del doctor.,Erreur
Medikuak?,- ¿El doctor?,Erreur
Ez zara ez neskaren ama ez bere medikua.,No es la madre de la niña ni su médico.,Erreur
Deitu medikuari.,Busquen al doctor.,Erreur
Medikuari agindu diote haiek artatzeko lehenik.,Los doctores tiene la orden de atenderlos a ellos primero.,Erreur
Nolatan lortu duzu medikua?,¿Cómo lograste traer un doctor aquí?,Erreur
Medikua behar du.,Necesita un médico.,Erreur
Nire emazteak mina dauka eta ez du ondo arnasa hartzen eta medikuak etorriko dela esan du baina bi ordu igaro dira jada.,"Es mi mujer. Le duele un poco y no respira bien, y una doctora dijo que la vería, pero ya han pasado dos horas.",Erreur
Medikua izan nahi zenuen?,¿Tú querías ser médico?,Erreur
Medikuak zarete biok.,Ambos son médicos.,Erreur
Medikua da.,También es médico.,Erreur
"Medikuak, pazienteak, Beverly.","Los médicos, las pacientes, Beverly.",Erreur
"Berandu deitu zioten medikuari, eta iritsi zenerako haurra hilda zegoen.","Llamaron tarde al médico y, cuando llegó, el bebé había muerto.",Erreur
"Beraz, emakumeak eta medikuak elkarrekin lan egin zuten.",Así que ella y el médico trabajaron juntos.,Erreur
Medikuak eta emakume gazteak 30 ebakuntza burutu zituzten.,El médico y la joven realizaron 30 intervenciones distintas.,Erreur
"Hogeita hamar ebakuntza eta gero, medikuak konpondu egin zuen.",Treinta intervenciones distintas para resolverlo y el médico lo resolvió.,Erreur
Medikuak zaretela berretsi nahi du.,Pregunta para confirmar que solo sois médicas.,Erreur
"Nire aita medikua da, berak hezi gintuen.",Mi padre es médico y nos ha criado.,Erreur
"Medikua zara, lortu hobea.",Eres doctora. Pilla algo bueno.,Erreur
Gure medikua balitz bezala.,Nos ha hecho un diagnóstico Mantle.,Erreur
"Nire ama hil egin zela esan zion medikua, minutu batzuk baino ez zituen alabak bere emaztea hil zuela esan zion medikua, oso-oso gaztea zela.","Que la médica que dijo que mi madre había muerto, la médica que le dijo que su hija, recién nacida, había matado a su mujer, era muy joven.",Erreur
"Gozokiekin konbentzitu ohi dugu, baina medikuak azukrea mozteko agindu digu.","Siempre la chantajeamos con dulces. Pero el doctor indicó que no comiera azúcar, así que...",Erreur
Medikuak azterketa egin behar dizu.,"Señorita, deje que el médico la revise.",Erreur
"Medikuak esan dit erabateko mugikortasuna daukadala, ez nukeela orbaindu ere egin behar.",El médico dijo que puedo extenderlo totalmente y que quizá no quede cicatriz.,Erreur
"Hori esan zuen mari-zikinak, eta hori esan nion nik medikuari.",Eso me dijo ella. Así se llama mi vídeo porno. Eso le dije al médico.,Erreur
"Gogoratzen aldi hura Oscar bizkar gainean eraman zenuenean eta erori eta negarrez eta garrasika hasi zenean eta, puntuak jartzeko unean, medikuak eusteko eskatu zidanean?","¿Recuerdas cuando eras pequeña, llevabas a Oscar a caballito, se cayó, empezó a llorar y a gritar y el médico me pidió que lo sujetara mientras le ponía agujas?",Erreur
Baina nire lagun medikuak arriskuak egon daitezkeela esan dit.,Pero tengo un amigo médico y me dijo que había riesgos.,Erreur
"Onartzen baduzu, medikuak dena prestatzen hasiko dira Romiren immunitate-sistema indargabetzeko.","Si dices que sí, los médicos lo pondrán todo en marcha y alterarán su sistema inmunológico.",Erreur
Medikuak poz-pozik daude.,Los médicos están contentos.,Erreur
- Horixe esan zenion medikuari.,- Eso le dijiste al médico.,Erreur
"Ez naiz medikua, baina igeltsu hau gozo-gozoa dago.","No practico la medicina, pero este yeso se ve exquisito.",Erreur
"""Ondo""? Medikuarengana eraman zaitudalako.",Estás bien porque te llevé al médico.,Erreur
"Medikua zara, badakizu ez dela oso osasuntsua.","Eres médica, sabes que no se cuida nada.",Erreur
Medikuak idatzi arte itxarongo dugu.,Esperamos a que llame el médico.,Erreur
Medikuaren berriren bat?,¿Alguna noticia del médico?,Erreur
- Bai. Hauek medikuarengana doaz gero.,Estos van al médico después.,Erreur
Medikuaren kontua konponduta dago.,Me he encargado del médico.,Erreur
"Ni kanpoan nengoela inon egon zaren galdetzen badizu norbaitek, esan medikuarenera joan zinela, ados?","Si te preguntan si fuiste a algún sitio mientras yo no estaba, tú di que fuiste al médico. ¿Vale?",Erreur
"Medikua naiz, eta jendea sendatzen dut.","Sabes que soy médica, ¿no? Curo a personas.",Erreur
"Aditzera emango duzu Ludmilla printzesak, gorteko medikuaren gomendioz, hilabeteak ohean pasa behar dituela.","Anunciarán que la princesa Ludmilla, por consejo del médico de la corte, debe quedarse en cama muchos meses.",Erreur
"Gure medikua, Putziger irakaslea.","Nuestro médico, el profesor Putziger.",Erreur
"Medikua zara, badakizu zer gertatuko den.","Es médico, sabe lo que está pasando.",Erreur
Mugarik Gabeko Medikuak.,Médicos Sin Fronteras.,Erreur
Medikua deituko dut.,Llamaré al médico.,Erreur
Medikua bidean da.,Ya viene.,Erreur
