Basque (eu),Spanish (es)
Hori izango da Udalbiltzako Ikerbiltza proiektuak eta Eibarko Industria Ingeniaritza Teknikoko Unibertsitate Eskolako Energia Berriztagarrien Ingenieritza gradukoak elkarlanean abiaturiko proiektuaren helburua.,Ese será el objetivo de la nueva iniciativa impulsada conjuntamente por el proyecto Ikerbiltza de Udalbiltza y los estudiantes del grado en Ingeniería de Energías Renovables de la Escuela Universitaria de Ingeniería Técnica Industrial de Eibar (UPV-EHU).
"ENPRESATAKO PRAKTIKAK eta IKASKETA BUKAERAKO PROIEKTUAK egiteko bekadun gisa ikasleak kontratatzeko interesa duten Kooperatiba federatuei lankidetza-arlo posibleak ezagutzen laguntzeko, EDUKIEN KATALOGOA egin da, eta gai-zerrenda luze horretan Mondragon Unibertsitatea-ko hiru Fakultateetako (Ingeniaritzako, Enpresa Zientzietako eta Humanitate eta Hezkuntza Zientzietako) ikasleak prestatuta daude PRAKTIKAK eta IKASKETA BUKAERAKO PROIEKTUAK .","Para facilitar a las Cooperativas federadas interesadas en contratar a becarios para la realización de PRÁCTICAS y/o PROYECTOS FIN DE CARRERA el conocimiento de las posibles áreas de colaboración, se la elaborado un CATÁLOGO DE CONTENIDOS que recoge toda una numerosa relación de temáticas en las cuales los alumnos de las tres Facultades de Mondragon Unibertsitatea (Ingeniería, Ciencias Empresariales y Humanidades y Ciencias de la Educación) están preparados para realizar las PRÁCTICAS y/o PROYECTOS FIN DE CARRERA."
Ingeniaritza jarduerak,Proyectos de ingeniería
"Aurrekoa kontraesan gabe, baina, ingeniaritzan erabiltzen den USCS sailkapenean, hareentzako 4.75 milimetroko gehienezko neurria eta lupetz eta buztinentzako 0.075 milimetroko gehienezko neurria erabiltzen da.","lo anterior, la clasificación USCS que es utilizada habitualmente en ingeniería usa los límites de tamaños máximos de 4,75 mm para las arenas y de 0,075 mm para las arcillas y limos."
"Ikerketa hauek ur-ingeniaritzako enpresekin lankidetzan burutu dira, berauen eskaintza teknologikoaren lehiakortasuna areagotu asmoz.",Este tipo de investigación se ha realizado tradicionalmente en colaboración con ingenierías de aguas con el propósito de aumentar la competitividad de su tecnología.
"NOA ingeniaritza Ermuako Izarra eraikinean ezarri da joan den Urriko hilabetean, Ermuako... more»",NOA ingeniería se ha establecido en el edificio Izarra de Ermua desde el pasado mes de Octubre... more»
"Laguntza autobusaren barrualde, karrozeria eta egituraren diseinuan, ingeniaritzan eta CAD 3D/2D dokumentazioa egiten.","Apoyo en diseño, ingenieria y realización de documentación CAD 3D/2D de interiores, carrocería y estructura del autocar."
"Eta horrez gain, beste aspektu hau ere badago: azken bi urteetan bizi dugun internazionalizazioa, atzerrian proiektuak atzitzen ari baikara, gure filialetan izaten ari garen ebolutiboarekin batera, LTZ/Komertzial baliabideak izatetik proiektuen ezarpenean eta ingeniaritzan ere baliabideak edukitzera pasatuz, kontuan izanik horrek beste kultura batzuetako pertsonekin batera lan egiten ikastera behartzen gaituela eguneroko martxan.","La combinación de estamos viviendo en estos dos últimos años, con captaciones de Proyectos en el Extranjero, junto con el evolutivo que estamos teniendo en nuestras filiales, pasando de recursos de SAT/Comercial, a disponer también de recursos a nivel de Implantación de Proyectos e Ingeniería, lo que nos obliga a aprender a trabajar conjuntamente con personas de otras culturas, en nuestro día a día."
"IDS enpresa Informatika Ingeniaritza Industriala S.A., egoitza soziala Euskal Herrian duena, IBERMATICA-rekin integratu da kapital sozialeko partaidetzaren %50a eskuratzeko buruturiko eragiketa baten bitartez.",El mercado español de fusiones y adquisiciones comienza el 2018 con un total de 542 operaciones ha integrado en IBERMÁTICA mediante una operación de toma de participación inicial del 50% de su capital social.
- 18:30ean: Ezkerraldeko zutabea Ingeniaritzako Eskolatik (San Mames) abiatuko da Bilboko manifestaziora.,- 18:30 horas. La columna de Ezkerraldea parte de la Escuela de Ingeniería (San Mames) a la manifestación de horas.
"(2p) Ingeniaritza genetikoan zer da errazagoa, ugaztunekin ala anfibioekin lan egitea?",(2p) más fácil trabajar en ingeniería genética con anfibios o con mamíferos?
Gainazalen ingeniaritzako estrategiaren helburua da materialen hobekuntzan aurrera egitea eta horiei funtzionalitate ezberdinak ematea.,La estrategia en Ingeniería de Superficies tiene como objetivo avanzar en la mejora de las propiedades de los materiales y dotarlos de distintas funcionalidades.
2 negozio-eremu nagusi ditugu: Komunikazio-ingeniaritza eta Kableatuaren Azpiegiturak.,Contamos con 2 áreas principales de negocio: Ingeniería de Comunicaciones e Infraestructuras de Cableado.
6 2501647 Industria Teknologiaren Ingeniaritza,6 2501647 Grado en Ingeniería en Tecnología Industrial
"Bilboko Ingeniaritza Eskolako ikaslea den Xabier Mendizabalek, adibidez, Japonian izandako esperientzia azaldu zuen.","Xabier Mendizabal, estudiante de la Escuela de Ingeniería de Bilbao, por ejemplo, describió su experiencia en Japón."
Industria Elektronikako eta Automatikako Ingeniaritzako ikasketek industria ingeniari tekniko lanbiderako trebatzen zaituzte.,Los estudios en Ingeniería Electrónica Industrial y Automática te habilitan para ejercer la profesión de ingeniero técnico industrial.
"Beijing Hongsheng Zhuoyue Ingeniaritza Makinak, LTD Beijing HongshengZhuoyue Ingeniaritza Makinak, LTD onena fabrika forconstruction hoist bat da.",Beijing Hongsheng Zhuoyue Ingeniería uno de los mejores elevador forconstruction fábrica.
"Horrekin batera, 70 industria proiektu eta ikerketatan baino gehiagotan europar bikaintasun aeroespazial sarea koordinatzen du, Sevillako Unibertsitateko Ingeniaritzako Goi Eskola Teknikoan 2008tik, eta PEGASUSen Board-eko kidea da 2011ko apiriletik gaur egunera arte.","Además de ello ha participado en más de 70 proyectos industriales y de investigación, siendo responsable hasta el momento de 42 proyectos Universidad de Sevilla desde 2008, y forma parte del Board de PEGASUS desde abril de 2011 hasta el momento."
Ingeniaritza Nuklearra eta Jariakinen Mekanika Saila,Departamento de Ingeniería Nuclear y Mecánica de Fluidos
"1848an, Portu, ubide eta bideetako ingeniaritza ikasketak egiten aritu zen bitartean, Espainiako Elisabet II.aren aldeko manifestua sinatzeari uko egin zion eskolako ikasle bakarra izan zen.","Durante sus estudios de ingeniería de Caminos, Canales y Puertos en 1848, fue el único alumno de la Escuela que se negó a firmar un manifiesto en apoyo de la reina Isabel II."
"Horrez gain, Gipuzkoako Ingeniaritza Eskolako Kalitate Batzordeak laguntza eta aholkularitza eskainiko dizkie Zuzendaritza Taldeari eta Ikastegiko Batzarrari, tituluen garapen kurrikularraren planifikazioan eta jarraipenean, eta horretarako, gaitasunetan oinarritutako irakaskuntza-ikaskuntzako eredua hartuko du oinarri. Eredu horrek norberak bideratutako ikaskuntza (bakarkakoa nahiz taldekoa) eta ebaluazio jarraitua sustatuko ditu, irakaskuntza eleanitzaren testuinguruan, metodologia aktiboen bidez eta informazio zein komunikazioko teknologien laguntzaz.","La Comisión de Calidad será, además, el órgano que apoye y asesore al equipo directivo del Centro y a la Junta de Centro en la planificación y seguimiento del desarrollo curricular de los títulos, en base al modelo de enseñanza-aprendizaje basado en competencias, en el que a través de metodologías activas y con el apoyo de las tecnologías de la información y comunicación, se fomente el aprendizaje auto dirigido (individual y grupal) y la evaluación continua, en un contexto de enseñanza plurilingüe."
"EKOSCAN ziurtagiria (IHOBEren zerbitzua, Ingurumen Jarduketarako Sozietate Publikoa), Industria Ingeniaritza Teknikoko Unibertsitate Eskolan (IITUE).","Certificación EKOSCAN (Servicio de IHOBE, Sociedad Pública de Gestión Ambiental) en la Escuela Universitaria de Ingeniería Técnica Industrial (EUITI)"
"Bestalde, Robert Nicholls doktorea kosta-ingeniaritzako ikerkuntzaren eta hezkuntzaren abangoardian dago.",El Dr. Robert Nicholls está a la vanguardia en la investigación y la educación en ingeniería costera.
"UPV/EHUko Zientzia eta Teknologia Fakultateko Ingeniaritza Kimikoko Saileko Ingurumenaren Iraunkortasunerako Teknologia Kimikoak (TQSA) ikerketa-taldearen helburua da plastiko-hondarrak eraginkortasun handienaz aprobetxatzea, ingurumenaren, energiaren eta ekonomiaren ikuspegitik.","El Grupo de Tecnologías Químicas para la Sostenibilidad Ambiental (TQSA) del Departamento de Ingeniería Química de la Facultad de Ciencia y Tecnología de la UPV/EHU tiene el objetivo de aprovechar el desecho plástico con la mejor eficacia, tanto desde el punto de vista medio ambiental, como energético y económico."
Kairoko unibertsitatean ingeniaritza ikasi omen zuen. 1956-1965 bitartean Kuwait eta Egipton lan egin zuen.,Arafat había conocido a Abu Iyad durante su periodo en la Universidad de El Cairo y a Abu Jihad en Gaza.
"Ikasleak entregatuko ditu kopia sinatuak, bai enpresan, bai Ingeniaritzako Dekanotzaren Idazkaritzan.",El responsable de entregar las copias firmadas tanto en la empresa como en la Secretaría de la Facultad de Ingeniería es el estudiante.
"Biltzarra hiru egunetan egingo da, uztailaren 6tik 9ra. Askotariko publikoari dago zuzenduta, hala nola ingeniaritza-alorreko ikasleei, irakasleei, ikertzaileei, enpresei eta erakundeei.","El Congreso tendrá lugar durante tres días de la próxima semana, del 6 al 9 de julio, dirigido a un público amplio integrado por alumnos, profesores, investigadores y empresas y organizaciones del ámbito de la ingeniería."
"Honako hau da tesiaren izenburua: Contribution to the development of optical networks for fiber Optics sensors using fiber lasers (Zuntz laserrak erabiliz zuntz optikozko sentsore-sareak garatzeari egindako ekarpena). Manuel López-Amo Sainz NUPeko Ingeniaritza Elektriko eta Elektroniko Saileko katedradunak zuzendu du, eta kalifikaziorik handiena lortu du, Gai cum laude, Europako Doktorea aipamenarekin.","La tesis Contribution to the development of optical networks for fiber Optics sensors using fiber lasers (Contribución al desarrollo de redes de sensores de fibra óptica utilizando láseres de fibra) ha sido dirigida por el catedrático Manuel López-Amo Sainz, del Departamento de Ingeniería Eléctrica y Electrónica de la UPNA, y ha obtenido la máxima calificación, apto cum laude, con Mención de Doctor Europeo."
"ICLI (Lankidetzarako Ingeniaritza) erakundearekin batera, proiektua gauzatzeko erakunde laguntza eskatu dugu.","Conjuntamente con ICLI (Ingeniería para la Cooperación), hemos solicitado apoyo institucional para la ejecución del proyecto."
Ingeniaritza Dualeko Unibertsitate Eskolaren izen-ematea,Escuela Universitaria de Ingeniería Dual: Inscripción
Arkitektura eta ingeniaritzako diziplina anitzeko estudioak.,Estudios multidisciplinares de arquitectura e ingeniería.
Egutegia/ Egutegia Kontsulta ezazu Industria Antolakuntzaren Ingeniaritza Unibertsitate Masterraren irakaskuntza egutegia eta ordutegia.,Calendario y exámenes/ Calendario y exámenes Consulta el calendario académico y las fechas de exámenes en la web de la Escuela de Ingeniería de Bilbao.
Sustatzailea Gasteizko Ingeniaritzako Eskola (EHU),Promotor Escuela de Ingeniería de Vitoria-Gasteiz – UPV/EHU
"7,64 2502393 Industria Elektronikaren eta Automatikaren Ingeniaritza (Donostia)","7,64 2502393 Ingeniería Electrónica Industrial y Automática (Donostia)"
Prozesu eta Produktuen Berrikuntzan Ingeniaritza / 7. promozioa,Ingeniería en Innovación de Procesos y Productos / 7ª Promoción.
"Hori guztia gutxi izaki, ingeniaritza judizialaren bitartez «inputazioak sortzen» dituzte, finantza-ingeniaritzak enpresa tartekatuak sortzen dituen modu berean: errealitatea ezkutatuz eta legeak bortxatuz.","Y cuando todo es poco, «construyen imputaciones» mediante la ingeniería judicial de manera similar a la que la ingeniería financiera construye empresas interpuestas: ocultando la realidad y forzando las leyes."
"Bilboko campusa, Deusto Business School, Enplegua eta Ekintzailetza, Emprendimiento - Formación Dual -, Gizarte eta Giza Zientzien Fakultatea, Zuzenbide Fakultatea, Ingeniaritza Fakultatea, Psikologia eta Hezkuntza Fakultatea, Prensa","Campus Bilbao, Deusto Business School, Empleo y Emprendimiento, Emprendimiento - Formación Dual -, Facultad de Ciencias Sociales y Humanas, Facultad de Derecho, Facultad de Ingeniería, Facultad de Psicología y Educación, Prensa"
Gastu horren % 77 ingeniaritzaren eta teknologiaren esparruan baliatu zen.,El 77% de ese gasto se empleó en el campo de la ingeniería y la tecnología.
E Eibarko Industria Ingeniaritza Teknikoko Unibertsitate Eskola,E Escuela Universitaria de Ingeniería Técnica Industrial de Éibar
"IK4-IDEKOk, bere 2020ko plan estrategikoan, 4.0 Industria, aplikazio robotikoak eta doitasunezko ingeniaritza sustatzearen aldeko apustua egin du.","IK4-IDEKO ha apostado en su plan estratégico a 2020 por potenciar la Industria 4.0, las aplicaciones robóticas y la ingeniería de precisión."
"Aurkezpena Adierazpen Grafikoa eta Ingeniaritzako Proiektuak Saila hirurogei profesional inguru ditu, irakasleria eta pertsonal tekniko administratiboa eta laborategikoa batuta.","Presentación El Departamento de Expresión Gráfica y Proyectos de Ingeniería cuenta con alrededor de sesenta profesionales, entre profesorado y personal técnico administrativo y de laboratorio, adscritos a cuatro centros diferentes, repartidos entre los tres campus universitarios de la UPV/EHU."
"Proiektuaren ekintzen artean, 2012 urtearen hasieran NIFEko teknikariek IMH bisitatu zuten. Orain IMHk parte hartuko du itxiera jardunaldian prestakuntza dualari buruz duen kasuak azaltzeko: txandakako ingeniaritza, eta heziketa zikloetako “ikasi eta lan” eta HEZIBI programak, alegia.","El IMH fue uno de los centros que los técnicos del proyecto NIFE visitaron a principios del 2012, e invitado por la organización, participará en la clausura con la exposición de sus casos de formación dual como son la ingeniería en alternancia, y los programas ""Ikasi eta lan"" y ""Hezibi"" en sus ciclos formativos."
Atzera Inprimatu Ingeniaritza Dualaren graduazioa,Atrás Imprimir Graduación en Ingeniería Dual
"Goi-mailako ikasketadunak: Unibertsitate-gradua, Lizentzia, Goi-mailako Ingeniaritza eta antzekoak, baita hirugarren zikloko ikasketak ere: graduondokoak, masterrak, doktoregoa eta espezializazioa.","Estudios de Ingenieros Técnicos y Peritos, Magisterio, Enfermería y otros del mismo nivel. Superiores. Estudios de Licenciatura, Ingenieros Superiores y similares, así como de doctorado y especialización."
Ikasketa Plana EAZ + Informatikako Ingeniaritza Donostiako campusa | Gradu Bikoitzak,Plan de estudios ADE + Derecho Campus San Sebastián | Dobles Grados
Donostiako EUITn Ingeniaritza Teknikoko eskolan hasi zituen ikasketak eta Okzitaniako Tolosan amaitu zituen.,"Inició sus estudios en la escuela de Ingeniería Técnica EUIT de Donostia-San Sebastián y los finalizó en Toulouse, Occitania."
Geomatikaren eta Topografiaren Ingeniaritzako Gradua - UPV/EHU,Grado en Ingeniería en Geomática y Topografía - UPV/EHU
"I+G+b alorrean garatzen duen jarduera enpresei soluzio teknologiko bereziak eskaintzera bideratuta dago, lehiakorragoak izan daitezen, eta jarduera hori 7 ikerketa lerrotan banatzen da: Berrikuntza Estrategikoa, Mekanizazioa eta Produkzio Sistemak, Dinamika eta Kontrola, Software Adimenduna, Fabrikazio Prozesuak, Ikuskapena eta Neurketa, eta Mikroteknologia eta Ultradoitasuna, bai eta Diseinua eta doitasunezko ingeniaritza ere.","Su actividad de I+D+i, orientada a ofrecer a las empresas soluciones tecnológicas diferenciadoras que les permitan mejorar su competitividad, se agrupa en torno a 7 líneas de investigación: Innovación Estratégica, Mecanizado y sistemas de Producción, Dinámica y Control, Software Inteligente, Procesos de Fabricación, Inspección y Medida, así como Diseño e ingeniería de precisión. IK4-IDEKO ANTERIOR"
"Ingeniaritzak, lantegi industrialen eraikuntza Maiztasuna: Bienala","Ingenierías, construcción de plantas industriales Periodicidad: Bienal"
"Badir Anaiak Ramy, Muzher eta Shadde Badir anaiak, jaiotzez itsuak direnak, ingeniaritza soziala, ahotsaren pertsonifikazioa eta Braille pantailadun ordenagailuak erabiliz iruzur telefoniko eta informatiko ugari burutu zituzten Israelen 90. hamarkadan.","Los hermanos Ramy, Muzher, y Shadde Badir —todos ellos ciegos de nacimiento— lograron establecer un extenso esquema de fraudes telefónicos e informáticos en Israel en los años 90 utilizando ingeniería social, personificación de la voz y computadoras con pantalla Braille."
"Pieza fisikoaren formatu digitala eskuratu nahi izanez gero, esaterako pieza berriro diseinatzeko, atzeranzko ingeniaritzaren prozesua egiten da.","En caso de querer obtener un formato digital de la pieza física para, por ejemplo, realizar un rediseño de la pieza, se ejecuta el proceso de ingeniería inversa."
"Saioetan eta tailerretan parte hartu ondoren, Mondragon Unibertsitateko Industria Antolakuntzako Ingeniaritza Graduko 3. ikasturteko ikasleek egindako proiektua aurkezteko aukera izan zuten: Lehiarako abantaila gehitzeko logistikako faktore gakoak identifikatzeko, salmenten eta banaketaren sektorean espezializatutako enpresa industrial baten hornidura katearen analisia.","Tras participar en las sesiones y talleres, tuvieron la oportunidad de presentar el proyecto distribución para identificar los factores logísticos clave que incrementen la ventaja competitiva."
"Horretaz gain, UPV/EHU-ko Material Berriztagarrien Ingeniaritza Masterreko, batzorde akademikoko kide, eta Espainiako Hezkuntza Ministerioaren Kalitate (MCD2008-00126) eta Bikaintasuna (MEE2011-0372) aipamenak jaso dituen Material Berriztagarrien Ingeniaritza Doktorego Programako arduraduna da. `Materialak + Teknologiak´ Ikerketa Taldeko (GMT), Eusko Jaurlaritzaren Ikerketa Talde Kontsolidatu onarpena duena (IT-776-13), arduraduna da.","Es miembro de la Comisión Académica del Máster en Ingeniería de Materiales Renovables y responsable del Programa de Doctorado de Ingeniería de Materiales Renovables de la UPV/EHU, que ha sido reconocido por el Ministerio de Educación de España como un Programa de Doctorado altamente cualificado (Mención de Calidad (MCD2008-00126) y hacia la excelencia (MEE2011-0372))."
Prozesu Kimikoen Ingeniaritza eta Garapen Jasangarria Unibertsitate Masterra (Unibertsitate Masterra eta Doktoregoa.,Máster en Ingeniería de Procesos Químicos y Desarrollo Sostenible (Máster Universitario y Doctorado. MdC)
Ingeniaritza Elektriko eta Elektronikoa Saila,Tecnologías de la Información y Electrónica
"Gehien bat industria eraikuntza sektoretik etorritako ekintzaile talde baten ekimenari esker, 2010ean, argiztapen, kontrol sistemak eta energi eraginkortasunarekin zerikusia daukaten soluzioak eskaintzen dituen Liderled ingeniaritza integratzailea jaio zen.",Gracias a la iniciativa de un grupo de emprendedores procedentes en su energética que ha logrado crear tecnología innovadora y una posición de liderazgo en el sur de Europa en el sector de este tipo de equipamiento para grandes naves industriales y logísticas.
"Titulu honetan jasotakoak Arabako Peritu, Ingeniari Tekniko eta Industria-adarreko Ingeniaritzako Graduatuen Elkargo Ofizialaren jardun-eremuan izango du eragina, hain zuzen ere Gobernu Batzordea eta gainerako ordezkariak hautatzeari eta ordezteari dagokionez.","Este Título regirá para todo lo relativo a la elección y sustitución de la Junta de Gobierno y demás cargos representativos en el ámbito territorial del Colegio Oficial de Peritos, Ingenieros Técnicos y Graduados en Ingeniería de la rama Industrial de Álava. CAPÍTULO II"
4 2501646 Telekomunikazio Teknologiaren Ingeniaritza,4 2501646 Grado en Ingeniería en Tecnología de Telecomunicación
"Zibilean eta Arkitekturan, Ingeniaritza Aeroespazialean, Aeronautikoan eta Ibilgailuen Ingeniaritza, Jarduketa eta Kontroleko Sistemetan, Energia eta Prozesuetan eta Ontzi-ingeniaritzan liderra eta nazioartean erreferente den Ingeniaritza eta Eraikuntzako enpresa da.","Ambas, con gran proyección internacional y empresas socias de Ingeniería y Construcción líder y referente internacional en Ingeniería Civil y Arquitectura, Ingeniería Aeroespacial, Aeronáutica y Vehículos, Sistemas de Actuación y Control, Energía y Procesos e Ingeniería"
Txandakako IMH Ingeniaritza berriz ere martxan 2011/09/12,La Ingeniería IMH en Alternancia otra vez en marcha 12/09/2011
"Ingeniaritza, diseinua eta beste sormen-jarduera batzuk.","Ingeniería, diseño y otras actividades creativas."
"Laburbilduz, gainazalen ingeniaritzak jatorrizko materialak eraldatu egiten ditu, haien ""azala"" soilik aldatuz.","En resumen, la ingeniería de superficies transforma los materiales de partida únicamente a través de la modificación de su “piel”."
"(Beste leiho bat zabalduko du)16.Erref: Uruguay-Ingeniaritza/Hezkuntza (pdf,74.83 Kb)","(Abre una nueva ventana)Ref.16: Uruguay-Ingeniería/Educación (pdf,64,79 Kb)"
"Hauez gain, Industria Antolakuntzaren Ingeniaritzako unibertsitate masterra ere eskaintzen dugu eta graduondoko hainbat ikastaro ere bai, hauetako batzuk industria 4.0ri oso lotuta.","También ofertamos un Máster Universitario en Ingeniería en Organización Industrial y diversos cursos de Posgrado, varios de ellos muy relacionados con la industria 4.0."
"Lehendabiziko aldiz, Vitoria-Gasteizko Ingeniaritza Eskolako Geomatika eta Topografia atalak GEOMATIKA ETA TOPOGRAFIA UPV / EHU 2012 lehiaketa antolatu du, hezkuntza ertaineko ikasleei zuzenduta.","Por primera vez, la la sección de Geomática y Topografía de la Escuela de Ingeniería de Vitoria-Gasteiz (Universidad del Pais Vasco) convoca el concurso GEOMÁTICA Y TOPOGRAFÍA UPV / EHU 2012 para estudiantes de enseñanzas medias."
Ingeniaritza Dualaren Unibertsitate Eskola,Escuela de Ingeniería Dual
EUSKAL HERRIKO UNIBERTSITATEA EHU (Gasteizko Ingeniaritza Eskola),UNIVERSIDAD DEL PAÍS VASCO/EHU (Escuela Universitaria de Ingeniería de Vitoria-Gasteiz)
"Informazioaren Gizarterako eta Garapen Jasangarrirako Ingeniaritza | Deusto Web gune honek bere cookiak eta bitartekoenak erabiltzen ditu zure nabigazioa optimizatzeko, zure lehentasunetara egokitzeko eta jarduera analitikoak egiteko.","Doctorado en Ingeniería para la Sociedad de la Información y Desarrollo Sostenible | Deusto Este sitio web utiliza cookies propias y de terceros para optimizar tu navegación, adaptarse a tus preferencias y realizar labores analíticas."
Zerbitzuak Direktorioa Ingeniaritza Elektrikoa Saila,Servicios Directorio Departamento de Geodinámica
"IDS enpresa Informatika Ingeniaritza Industriala S.A., egoitza soziala Euskal Herrian duena, IBERMATICA-rekin integratu da kapital sozialeko partaidetzaren %50a eskuratzeko buruturiko eragiketa baten bitartez.","El mercado español de fusiones y adquisiciones el País Vasco, se ha integrado en IBERMÁTICA mediante una operación de toma de participación inicial del 50% de su capital social."
Ingeniaritza Mekanikoa Saileko ikerketa taldeak honakoak dira:,Los grupos de investigación del Departamento de Organización de Empresas son los siguientes:
Atzera Inprimatu Gasteizko Ingeniaritzako ikasleen graduazioa,Atrás Imprimir Graduación del alumnado de Ingeniería de Vitoria-Gasteiz
"Pasa den ostiralean, maiatzak 3, UPV/EHUko Ingeniaritza Zibileko graduko bigarren mailako ikasle talde batek gure lana bisitatu zuen Amezagan.","El pasado viernes 3 de mayo, un grupo de alumnos de segundo curso del grado de Ingeniería Civil de la UPV/EHU visitó nuestra obra en Amézola."
Gradu bikoitza: Enpresen Administrazioa eta Zuzendaritza + Industria Teknologien Ingeniaritza 19:00,Doble Grado en Administración y Dirección de Empresas + Ingeniería en Tecnologías Industriales 19:00
Azal itzazu ingeniaritza genetikoaren metodo ezberdin batzuk.,Explica diversos métodos en ingeniería genética.
"Begoña García Zapirain Telekomunikazioko Ingeniaritzan graduatu zen, Telematika espezialitatean, Euskal Herriko Unibertsitatean, 1994an.","Begoña García Zapirain se graduó en Ingeniería de Telecomunicaciones, en la especialidad en Telemática, por la Universidad del País Vasco (UPV / EHU) en 1994."
Industria Diseinuko Ingeniaritza > Lan irteerak,Ingeniería en Diseño Industrial > Salidas profesionales
"Lan horrek, EHUko Ingeniaritza Mekanikoko Sailarekin elkarlanean, proposatzen du hortzaren topografia aurreikusiko duen sistema bat exekutatzea diamantatzaile birakariarekin egindako diamantatze operazio baten ondoren.","Este trabajo, desarrollado en colaboración con el Departamento de Ingeniería Mecánica de la UPV, plantea la ejecución de un sistema que predice la topografía resultante de la muela tras la operación de diamantado con diamantador rotativo."
"Aurten, 24 proiektu aurkeztu dira eta irabazlea ‘Mindflu’ proiektua izan da. 2.500 €-ko saria jaso du. Handitzen ari diren markei ‘influencer’-en kontaktuak errazteko ideia garatu du Bilboko Ingeniaritza Eskolako ikasle den Iván Salazar Casalek.","Este año se ha presentado 24 candidaturas, de la que ‘Mindflu’ ha sido el proyecto ganador de Think Big 2019 y ha recibido un premio dotado de 2.500 €. Se trata de una idea que facilita a marcas en crecimiento el acceso a ‘influencers’ y que ha desarrollado Iván Salazar Casal."
Hasiera Albisteak IMHko Ingeniaritzako 3.ekoentzako Mintegia,Inicio Noticias Seminario para 3º de Ingeniería IMH
Automobilgintzaren Ingeniaritzako Gradu (duala),Grado en Automoción (dual)
"Gehiago jakin nahi baduzue, otsailaren 18an, arratsaldeko 16:00etan ateak irekiko ditugu informazio osoa emateko eta Elgoibarko enpresa bat bisitatuko dugu, bertan ingeniaritzako ikasle ohiekin hitz egiteko aukera izanik.","Si deseas conocer más en torno a esta formación, el próximo 18 de febrero, jueves, a las 16.00 abriremos las puertas para ofreceros toda la información, y visitaremos una empresa de Elgoibar donde podremos conversar con nuestros exalumnos."
"Ia 30 urteko historia du Ingematen bilakaerak eta garapenak. Bizkaian sortutako ETE bat da, automobilaren industriari ingeniaritza-soluzioak eskaintzen dizkiona mundu guztian.","Casi 30 años de historia acompañan la evolución y desarrollo de Ingemat, una pyme nacida en Bizkaia que proporciona soluciones de ingeniería a la industria del automóvil por todo el mundo."
Gipuzkoako Ingeniaritza Eskola,Escuela de Ingeniería de Guipúzcoa
"Ingeniaritza Wikipedia, Entziklopedia askea","De Wikipedia, la enciclopedia libre"
"Honako hauek bezalako arloetan: prozesuen diseinua eta ingeniaritza, produktuen ekoizpena eta ingeniaritza, I+G+b, gerentzia eta marketin eta salmenten zuzendaritza.","Algunas de las áreas para desarrollar su labor profesional serían diseño e ingeniería de proceso, producción e ingeniería de producto, I+D+I, gerencia y dirección ventas y marketing."
"Itzulpen-proiektua egituratzen dugu, hura burutzeko beharrezko giza taldea osatuz eta eskuragarri ditugun eta bezero bakoitzarentzat egokienak diren hizkuntza- eta ingeniaritza-baliabideak erantsiz.",4 – Organización Articulamos el servicio de traducción configurando el equipo de traductores profesionales necesario e incorporando los recursos lingüísticos y de ingeniería disponibles y apropiados para cada cliente.
Hasiera Albisteak Ingeniaritza Dualeko ikasleak Tianjin-Txinako bidaia prestatzen,Inicio Noticias Alumnos de Ingeniería Dual preparan su viaje a Tianjin-China
Bilboko Ingeniaritza Eskola,Escuela de Ingeniería de Bilbao en Portugalete
Industria Diseinuko eta Produktu Garapeneko Ingeniaritza Gradura egokitzeko ikastaroa,"Informática, Telecomunicaciones y Sistemas Empotrados Curso de Adaptación Grado en Ingeniería en Informática"
"Goi mailako ingeniaritza-lan bat dela esan liteke: 26 hezur, 33 artikulazio, 19 muskulu eta 100 zain baino gehiago ditu, eta noranahiko ibilgailurik inon bada, oina da noranahikoena, edozein gainazaletara moldatzeko gai eta milaka kilometro egiteko gauza.","O lo que es lo mismo, una excelsa obra de ingeniería compuesta por 26 huesos, 33 articulaciones, 19 músculos y más de 100 tendones que lo convierten en un todoterreno capaz de adaptarse a cualquier superficie que pise y de recorrer miles que kilómetros a lo largo de nuestra vida."
Hasiera Albisteak IMH INGENIARITZA ESKOLA: 8. promozioari diploma banatzeko ekitaldia,Inicio Noticias ESCUELA DE INGENIERÍA IMH: Entrega de diplomas a la 8ª promoción
"Dominion zerbitzu multiteknikoak eta ingeniaritza espezializatuko soluzioak eskaintzen dituen konpainia globala da, ezagutza, teknologia eta berrikuntza uztartuz, bezeroei ekoizpen-prozesu eraginkorragoak lortzen laguntzeko asmoz.","Reto Dominion es una compañía global de servicios multitécnicos y soluciones de ingeniería especializada que combina conocimiento, tecnología e innovación para ayudar a sus clientes a hacer sus procesos productivos más eficientes."
"Gaur egun, zientzietako (biologia, ingeniaritza, kimika…) 100 espezialista baino gehiago ditu bere langileen artean, baita saiakuntza-laborategi aurreratu bat ere; horiei esker, hobekuntzak egin ditzakete hirugarren enpresa batzuen ekoizpen-prozesuetan, haiek horretarako ekoizpen-sistemak geratu beharrik gabe.","En la actualidad cuenta con más de 100 especialistas en ciencias (biología, ingeniería, química…) en plantilla, y un avanzado laboratorio de ensayos, que permite implementar mejoras en los procesos productivos de terceras empresas, sin que éstas tengan que parar sus sistemas de producción."
