Basque (eu),Spanish (es),Spanish_Translation
"Camp teknologikoa - Hezkuntza-proiektu aitzindari horren helburua hau da: hezkuntza-teknologiaren bidez jende gazteari zientzia, teknologia, ingeniaritza eta matematikarekiko jakin-mina piztea.","Camp Tecnológico - Proyecto Educativo líder con el objetivo de despertar el interés de los más jóvenes por la Ciencia, Tecnología, Ingeniería y Matemáticas","Camp Tecnológico - Este proyecto pionero de educación tiene como objetivo despertar la curiosidad por la ciencia, la tecnología, la ingeniería y las matemáticas a través de la tecnología educativa."
"Ingeniaritzako eta industria zerbitzuetako enpresetan hainbat urtez lan egin ondoren, TUBACEXen sartu zen 1998an, Ingeniaritza arloan Proiektuen Buru gisa eta, ondoren, Ingeniaritza Zuzendari gisa lan egiteko.","Es Después de trabajar varios años en empresas de ingeniería y servicios industriales, se incorpora a TUBACEX en 1998, dentro del área de Ingeniería, como Jefe de proyecto y posteriormente como Director de Ingeniería.","Tras varios años de trabajo en empresas de servicios industriales e ingeniería, entra en el TUBACEX en 1998 para trabajar como Jefe de Proyectos en Ingeniería y posteriormente como Director de Ingeniería."
"Martxoaren 25ean, astelehena, goizeko 11etan dokumentalaren emanaldia eta solasaldia UPV/EHU-ko Ingeniaritza Eskolan, eta arratsaldeko 7.30etan Koldo Mitxelena kulturgunean.",Donostia. Lunes 25 de marzo a las 11:00h proyección del documental y coloquio en la Escuela de Ingeniería de la UPV/EHU y a las 19:30h en el centro cultural Koldo Mitxelena.,"El 25 de marzo, lunes, a las 11 de la mañana, proyección y coloquio en la Escuela de Ingeniería de la UPV/EHU y a las 7.30 horas en el Centro Cultural Koldo Mitxelena."
"La Salleko Anaien Eskolan ikasi ondoren, delineatzaile hasi zen lanean, Pasaiako itsas ingeniaritzaren alorreko Navitecnia enpresan.","Tras estudiar en las escuelas de los Hermanos de La Salle, pasa a trabajar como delineante en la empresa Navitecnia, de Pasajes, dedicada a la ingeniería naval.","Tras estudiar en la Escuela de Hermanos de La Salle, entra a trabajar como delineante en la empresa Navitecnia del área de ingeniería naval de Pasaia."
Enpresen Administrazio eta Zuzendaritzako gradua + Industria Ingeniaritza Teknikoko gradua,Grado en Administración y Dirección de Empresas + Grado en Ingeniería Informática,"Grado en Ingeniería Técnica Industrial, especialidad en Química Industrial"
Bilboko campusa | Gradu Bikoitzak EAZ + Informatikako Ingeniaritza,Campus Bilbao | Dobles Grados ADE + Ingeniería en Tecnologías Industriales,Campus de Bilbao Doble Grado EAZ + Ingeniería Informática
"Ingeniaritza, aholkularitza eta trebatzea / RCM- Fidagarritasunean oinarritutako mantentze-lanen kudeaketa","Ingenierías, consultorías, formación / MCC - Gestión del Mantenimiento Centrado en la Confiabilidad","Ingeniería, asesoramiento y formación / Gestión de mantenimiento basado en la privacidad RCM"
"Mugikortasuneko ingeniaritza bat gara eta urte askotako esperientzia dugu sektorean, baita proiektu handiak ere gure atzean.",Somos una ingeniería de la movilidad que cuenta con años de experiencia en el sector y con grandes proyectos a nuestras espaldas.,"Somos una ingeniería de movilidad con experiencia en el sector durante muchos años, así como grandes proyectos detrás de nosotros."
"Arin-Bidek beste beharrezko prozesuak, softwareko ingeniaritzako prozesuarekin denboran elkartzen direnak, ezartzea ere begiesten du. Horiek hurrengoak dira:","ARINbide contempla además el establecimiento de otros procesos necesarios y que conviven en el tiempo con el proceso principal de ingeniería del software, que son los siguientes.","Arin-Bidei también contempla la implantación de otros procesos necesarios, que se unen en el tiempo con el proceso de ingeniería de software, que son:"
"Diplomaturetan %22 matrikulatu ziren, arkitektura eta ingeniaritza teknikoetan %18 eta arkitektura eta ingeniaritzetan %14.","A continuación se situaron las diplomaturas con un 22%, arquitectura técnica e ingenierías técnicas con un 18% y, por último, arquitectura e ingenierías con un 14%.","Los diplomados se matricularon un 22%, un 18% en arquitectura e ingeniería técnica y un 14% en arquitectura e ingenierías."
"Softwarearen ingeniaritzaren ildoaren helburua da softwarea garatzeko prozesua industrializatzea, garapeneko kostuak murrizteko eta software produktuen kalitatea hobetzeko.",Ingeniería del software: El objetivo es industrializar el proceso de desarrollo de software para reducir costes y mejorar la calidad de los productos software.,"La línea de ingeniería del software tiene como objetivo industrializar el proceso de desarrollo del software, reducir costes de desarrollo y mejorar la calidad de los productos de software."
"Egindako bilera batean, CIRPedia-ren egoerari buruz hitz egin zen, produkzio ingeniaritzan erabilitako termino teknikoen entziklopediari buruz hain zuzen ere.","Una de las reuniones celebradas versó sobre la situación de CIRPedia, la enciclopedia sobre los términos técnicos utilizados en la ingeniería de producción.","En una reunión celebrada se habló de la situación de CIRPedia, la enciclopedia de los términos técnicos utilizados en la ingeniería productiva."
Aurkezpena - Konputazio Ingeniaritza eta Sistema Adimentsuak Unibertsitate Masterra - UPV/EHU,Presentación - Máster Universitario en Ingeniería Computacional y Sistemas Inteligentes - UPV/EHU,Presentación - Máster Universitario en Ingeniería y Sistemas Inteligentes de Computación - UPV/EHU
Ingeniaritza Goi Eskola Teknikoa,DOCENCIA Escuela de Ingeniería de Bilbao,Escuela Técnica Superior de Ingeniería
Ingeniaritza Elektronikoko Gradua/,Doble Grado en Física y en Ingeniería Electrónica/,Grado en Ingeniería Electrónica
"Bauriedl, Karl, Ingeniaritzako ikaslea","Bauriedl, Andreas, sombrerero.","Bauriedl, Karl, estudiante de Ingeniería"
"1.3.– Arabako Peritu, Ingeniari Tekniko eta Industria adarreko Ingeniaritzako Graduatuen Elkargo Ofizialaren eremuak Arabako Lurralde Historikoa hartzen du.","1.2.– El Colegio Oficial de Peritos, Ingenieros Técnicos y Graduados en Ingeniería de la rama Industrial de Álava se regirá por lo dispuesto en estos Estatutos, Histórico de Álava.","1.3.6 El ámbito del Colegio Oficial de Graduados en Ingeniería, Ingeniero Técnico e Industria de Álava ocupa el Territorio Histórico de Álava."
Ingeniaritzako Unibertsitate Eskola / Arabako Campusa (2012ko abenduaren 21ean),Escuela Universitaria de Ingeniería / Campus de Araba (21 de diciembre de 2012),Escuela Universitaria de Ingeniería / Campus de Álava (21 de diciembre de 2012)
"IK4-Tekniker zentro teknologikoak 35 urtetik gorako esperientzia du teknologia aplikatuaren ikerkuntzan eta hura enpresetara transferitzen, eta, denbora horren ostean, espezializazio-maila altua eskuratu du lau arlo handitan fabrikazio aurreratuan, gainazalen ingeniaritzan, produktu-ingeniaritzan eta IKTetan, eta abangoardiako teknologia hori bezeroen premien zerbitzura jartzea ahalbidetzen du horrek.","Con más de 30 años de experiencia en la investigación en tecnología aplicada y en su transferencia a la empresa, IK4-TEKNIKER ha alcanzado un alto grado de especialización en cuatro grandes áreas (Fabricación Avanzada, Ingeniería de Superficies, Ingeniería de Producto y TICs), lo que le permite poner su tecnología de vanguardia al servicio de las necesidades de los clientes.","El centro tecnológico IK4-Tekniker tiene más de 35 años de experiencia en investigación de tecnología aplicada y su transferencia a empresas, y tras este tiempo ha adquirido un alto grado de especialización en fabricación avanzada, ingeniería de superficies, ingeniería de productos y TIC, lo que le permite poner al servicio de las necesidades de los clientes esta tecnología de vanguardia."
"Ostirala, irailaren 21an, 12.00etan, Elgoibarko IMHko Alberto Ortueta Areto Nagusian, Ikasturte Akademiko berriaren inaugurazio ofizialaren ekitaldia izango da, UPV/EHuri atxikituta dagoen Elgoibarko Makina Erremintaren Txandakako Ingeniaritza Eskolaren Prozesu eta Produktuen Berrikuntza Ingeniaria txandakako gradu berriaren ikasturtearen hasiera dela eta.","El viernes, 21 de septiembre, a las 12.00 horas, en la Sala de Conferencias Alberto Ortueta del Instituto de Máquina-Herramienta de Elgoibar, tendrá lugar el acto de Inauguración Oficial del Curso Académico 2012- 2013, con motivo del comienzo del curso del nuevo Grado en Alternancia en Ingeniería en Innovación en Procesos y Productos, de la Escuela de Ingeniería en Alternancia del IMH de Elgoibar, adscrita a la UPV/EHU.","Este viernes, 21 de septiembre, a las 12.00 horas, en el Aula Magna Alberto Ortueta, del IMH de Elgoibar, tendrá lugar la inauguración oficial del nuevo curso académico, con motivo del comienzo del nuevo curso escolar de Ingeniería en Turnográfica de la Escuela de Máquina Herramienta de Elgoibar."
"Euskera: IDOM Ingeniaritza, Arkitektura eta Aholkularitza arloan enpresa liderra da.","IDOM es una compañía multidisciplinar líder en los campos de Ingeniería, Arquitectura y Consultoría.","Euskera: IDOM es una empresa líder en Ingeniería, Arquitectura y Asesoramiento."
"MSV, Ingeniaritzako Nazioarteko Azoka, bestalde, Europako Erdialdeko industria-biltzar garrantzitsuena da askoren iritzian eta dagoeneko 1.500 erakusle eta 75.000 bisitari igaro dira bertatik, 59 herrialdetik etorriak.","La Feria Internacional de Ingeniería MSV, por su parte, es considerada como el encuentro industrial más relevante en Europa Central, con una acogida anual que supera ya los 1.500 exhibidores y 75.000 visitantes de más de 59 países.","MSV, la Feria Internacional de Ingeniería, por su parte, es el eje industrial más importante de Europa Central, y ya han pasado por allí 1.500 expositores y 75.000 visitantes procedentes de 59 países."
"Ingenieritza erromatarra Espainian erakusketak erromatarrek utzitako ondare tekniko izugarria erakutsiko du, teknologiaren alorreko jakituria eta, bereziki, Hispanian ingeniaritza zibilean jakituria horrek izandako aplikazioak erakutsiz.","Ingeniería Romana en España expone el inmenso legado técnico del mundo romano, mostrando los saberes en diversos campos de la tecnología, y de manera muy especialmente, sus aplicaciones a la ingeniería civil en Hispania.","La ingeniería romana en España mostrará un enorme legado técnico de los romanos, mostrando su sabiduría tecnológica y, sobre todo, sus aplicaciones en la ingeniería civil en Hispania."
"Industria Ingeniaritza Teknikorako Unibertsitate Eskola, Eibar",Escuela Universitaria de Ingeniería Técnica Industrial de Éibar,"Escuela Universitaria de Ingeniería Técnica Industrial, Eibar"
"Agian ez da ingeniaritzan doktore den baten ohiko ibilbidea izango, baina gustura ageri da hartu duen bidearekin.","Quizá no sea la trayectoria típica de alguien que se ha doctorado en Ingeniería, pero se muestra satisfecha con el camino elegido.","Quizá no sea el itinerario habitual de un doctor en ingeniería, pero se muestra a gusto con el camino que ha seguido."
"Hala, erakusketa-sektoreak izango dira neurketa, ebaluazioa eta kontrola, mantentzea eta lubrifikazioa, teknologiak, mantentze eta zerbitzu industrialak, software-konponbide industrialak, segurtasun-sistemak, ingurumen-zerbitzuak, hondakinen ezabaketa eta birziklapena, uren eta hondakin-uren tratamendua, zoruen eta lurpeko uren kutsaduraren kontrola, airearen eta isurien tratamendua, ingeniaritzak eta aholkularitzak.","Así, los sectores expositivos serán los de medición, evaluación y control, mantenimiento y lubricación, tecnologías, mantenimiento y servicios industriales, soluciones de software industriales, sistemas de seguridad, servicios medioambientales, eliminación de residuos y reciclaje, tratamiento de aguas y aguas residuales, control de contaminación de suelos y aguas subterráneas, tratamiento de aire y emisiones, ingenierías, consultorías y formación.","Así, los sectores expositivos serán los sectores de medición, evaluación y control, mantenimiento y lubricación, tecnologías, mantenimiento y servicios industriales, soluciones industriales de software, sistemas de seguridad, servicios medioambientales, eliminación y reciclaje de residuos, tratamiento de aguas y aguas residuales, control de contaminación de suelos y aguas subterráneas, tratamiento del aire y emisiones, ingenierías y consultorías."
"Hartutako esperientziari esker, CAF Turnkey & Engineering-ek era guztietako azterlan eta proiektuetan esku hartu ahal izan zuen (garraioa, eraikuntzaren kudeaketa, sistemen integrazioa, azpiegiturak martxan jartzea eta ingeniaritza independentea), eta trenbideen eta errepideen sektoreko erakunde, administrazio eta operadoreei eskaini ahal izan zizkien zerbitzuak.","La experiencia adquirida permitió a CAF Turnkey & Engineering intervenir en todo tipo de estudios y proyectos de transporte, gestión de la construcción, integración de sistemas y puesta en marcha de infraestructuras como ingeniería independiente prestando así sus servicios a organismos, administraciones y operadores del sector ferroviario y viario.","Gracias a la experiencia adquirida, CAF Turnkey & Engineering pudo participar en estudios y proyectos de todo tipo (transporte, gestión de la construcción, integración de sistemas, puesta en marcha de infraestructuras e ingeniería independiente), así como ofrecer servicios a instituciones, administraciones y operadores del sector ferroviario y de carreteras."
Gizartea-Enpresa Ikasketak Hasiera/ Ikasketak/ Graduondoa/ Graduondo eskaintza ofiziala/ Unibertsitateko Masterraren titulu ofizialak / Telekomunikazio eta Industria Ingeniarien Goi Mailako Eskola Teknikoa/ Unibertsitate Masterra Informatikako Ingeniaritzan,Sociedad-Empresa Estudios Portada/ Estudios/ Posgrado/ Oferta de posgrado oficial/ Títulos Oficiales de Máster Universitario/ Facultad de Ciencias Jurídicas/ Máster Universitario en Derecho Privado Patrimonial,Estudios Sociales-EmpresaInstalación oficial/Oferta oficial de Estudios/Berdeo de Grado/ Master Universitario / Escuela Técnica Superior de Ingeniería de Telecomunicaciones y Ingenieros Industriales / Master Universitario en Ingeniería Informática
Historikoki arkitekturarekin eta ingeniaritzarekin lotura duen materiala da.,Se trata de un material que históricamente se relaciona con el mundo de la arquitectura y la ingeniería.,Se trata de un material histórico relacionado con la arquitectura y la ingeniería.
"ECTS kopurua: 4,0 | Titulua: INDUSTRIA INGENIARITZAKO UNIBERTSITATE MASTERRA KONTABILITATEA","ECTS: 4,0 | Título: MÁSTER UNIVERSITARIO EN INGENIERÍA INDUSTRIAL CONTABILIDAD","No ECTS: Título 4,0 19: LA CONTABILIDAD UNIVERSIDAD DE INGENIERÍA INDUSTRIAL"
"Ingeniaritzako eta hiri-plangintzako azterketa integralak diseinatzen ditugu, eta mugikortasuneko eta irisgarritasuneko azterketa oinarri hartuta lurraldeko gune gatazkatsuenak identifikatzen ditugu.","Diseñamos estudios integrales de ingeniería y planificación urbana partiendo de un análisis de movilidad y accesibilidad, e identificando los principales puntos conflictivos del territorio…","Diseñamos estudios integrales de ingeniería y planificación urbana y, a partir del análisis de movilidad y accesibilidad, identificamos los núcleos más conflictivos del territorio."
IMHn lan egin: Ingeniaritza Eskolarako Kimika irakaslea,Trabaja en el IMH: Profesor-a de química/Escuela de Ingeniería,Trabajar en el IMH: Profesora de Química para la Escuela de Ingeniería
"Gastronomia Euskadin bizitzen ari den gorakadaren baitan, UPV/EHUko Arkitektura Goi Eskola Teknikoak, Donostian, ikaskuntza-eskaintza zabaldu eta Espazio Gastronomikoen Diseinurako Espezializazio titulua eskainiko du.Graduondoko berri hori diseinu, arkitektura, ingeniaritza eta interiorismo sektoreetako profesionalei zuzendutakoa da, eta ostalaritzaren eta gastronomiaren alorrak ditu ardatz.","En el marco de la creciente pujanza de la gastronomía en Euskadi, la Escuela Técnica Superior de Arquitectura de la UPV/EHU, en Donostia-San Sebastián, tiene previsto ampliar su oferta docente mediante el lanzamiento de un Título de especialización en Diseño de Espacios Gastronómicos.","Dentro del incremento que está viviendo la gastronomía en Euskadi, la Escuela Técnica Superior de Arquitectura de la UPV/EHU, en San Sebastián, amplia su oferta de aprendizaje y ofrece el título de Especialización en Diseño de Espacios Gastronómicos, dirigido a profesionales de los sectores del diseño, arquitectura, ingeniería e interiorismo, que se centran en el área de hostelería y gastronomía."
F1: ingeniaritza onaren adibidea,F1: un ejemplo de buena ingeniería,F1: Ejemplo de buena ingeniería
"Ingeniaritza elektrikoa (batzuetan ingeniaritza elektriko eta elektronikoa deitua) elektrizitatearen, elektronikaren eta elektromagnetismoaren ikerketa eta aplikazioetan aritzen den ingeniaritzaren diziplina profesionala da.","Reconocida en Todo el mundo La ingeniería eléctrica es el campo de la ingeniería que se ocupa del estudio y la aplicación de la electricidad, la electrónica y el electromagnetismo.","La ingeniería eléctrica, denominada en algunos casos ingeniería eléctrica y electrónica, es la disciplina profesional de la ingeniería dedicada a la investigación y aplicaciones de electricidad, electrónica y electromagnetismo."
"Ingeniaritza, aholkularitza eta trebatzea / Prebentzioko mantentze-lanak","Ingenierías, consultorías, formación / Ingeniería mecánica","Ingeniería, asesoramiento y formación / Mantenimiento preventivo"
"Euskal Herriko Mugarik Gabeko Ingeniaritza elkarteak (ISF-MGI) tailerra emateko gonbidapena luzatu zigun, esparru zientifiko-teknologikoan berdintasuna bultzatzeko helburuarekin antolatutako jardunaldi batzuen karietara.",La organización ISF Euskadi nos invitó a participar en unas jornadas dedicadas a promover la igualdad social desde el mundo tecnológico.,La Asociación de Ingenieros sin Fronteras del País Vasco (ISF-MGI) nos invitó a impartir un taller sobre igualdad en el ámbito científico-tecnológico.
"Joan den asteazkenean, azaroaren 29an, Euskampus Eguna egin zen Bilboko Ingeniaritza Eskolan, Euskampus Fundazioaren eskutik, UPV/EHUko, TECNALIAko eta DIPCeko ikerketa taldeen arteko lankidetza egituratzeko eta finkatzeko helburuz, Euskampuseko jakintza guneak ardatz hartuta, hau da, gure lankidetza agendako gaien inguruko gogoeta eta ikerketa arloak.","El pasado miércoles 29 de noviembre se celebró en la Escuela de Ingeniería de Bilbao el Euskampus Eguna. El evento, impulsado por Euskampus Fundazioa, buscaba seguir contribuyendo a estructurar y consolidar la colaboración entre grupos de investigación de la UPV/EHU, TECNALIA y DIPC impulsando los Polos de Conocimiento de Euskampus, áreas de reflexión e investigación colaborativa que giran en torno a las temáticas de nuestra agenda de colaboración.","El pasado miércoles, 29 de noviembre, tuvo lugar en la Escuela de Ingeniería de Bilbao el Día de Euskampus, de la mano de la Fundación Euskampus, con el objetivo de estructurar y consolidar la colaboración entre los grupos de investigación de la UPV/EHU, TECNALIA y DIPC, a través de los centros de conocimiento de Euskampus, es decir, de reflexión e investigación sobre temas de nuestra agenda de colaboración."
"AURREKARIAK Lehenengoa.– Ekainaren 16ko 104/2015 Dekretuaren bidez (2015eko ekainaren 26ko Euskal Herriko Agintaritzaren Aldizkarian argitaratua, 119. zenbakian), onetsi egin zen Arabako Peritu eta Ingeniari Tekniko Industrialen Elkargo Ofizialaren izena aldatzea eta izen hau jartzea: Arabako Peritu, Ingeniari Tekniko eta Industria-adarreko Ingeniaritzako Graduatuen Elkargo Ofiziala.","Primero.– Mediante Decreto 104/2015, de 16 de junio, publicado en el Boletín Oficial del País Vasco n.º 119, de 26 de junio de 2015, fue aprobada la lado, ha sido presentada en el Departamento de Administración Pública Vasca solicitud de aprobación de la modificación de los estatutos modificación de estatutos del Colegio Oficial de Peritos e Ingenieros Técnicos Industriales de Álava.","ANTECEDENTES Primero. · Por Decreto 104/2015, de 16 de junio (publicado en el Boletín Oficial del País Vasco del 26 de junio de 2015, no 119), se aprobó la modificación del nombre y denominación del Colegio Oficial de Peritos e Ingenieros Técnicos Industriales de Álava: Colegio Oficial de Graduados de Ingeniería en Peritos, Ingenieros Técnicos e rama Industrial de Álava."
"Guztira hamar estatuatxo banatuko dira kategoria hauetan nabarmenenak izan direnak aintzatesteko: Itsasontzia, Ontziola, Armadorea, Ingeniaritza-proiektua, Erakundea eta Profesionala. Gainera, arrantza-sektoreari, portuko sektoreari eta itsas energia berriztagarrien sektoreari aintzatespen berezia egingo zaie.","En total se reparten diez estatuillas con las que se reconoce a los más destacados en las categorías de Buque, Astillero, Armador, Proyecto de Ingeniería, Institución y Profesional; se hace además un reconocimiento especial a los sectores pesquero, portuario y energías renovables marinas.","En total se repartirán diez estanterías para reconocer a las más destacadas en las siguientes categorías: Barco, Astillero, Armador, Proyecto de Ingeniería, Organización y Profesional, así como un reconocimiento especial al sector pesquero, sector portuario y sector de las energías renovables marinas."
"Gabezia horri erantzuteko, unibertsitateak premia horiek oso gertutik aztertuko dituen titulu bat jarriko du abian hurrengo urtean: Mekatronikako Ingeniaritza Gradua (baita ofiziala ez den beste titulu propio bat ere: Industria Automatizazioko Masterra). Titulu horrek “Internet Industriaren” edo, bestela esanda, 4.0 industriaren premiei erantzungo die.","Para resolver esa necesidad, la universidad pondrá en marcha el año que viene un título que mira muy de cerca a estas necesidades: el Grado en Ingeniería Mecatrónica (junto a un segundo título no oficial y que es un título propio, el Máster en Automatización Industrial), y que responde a las necesidades de la ‘Industria internetizada’, comúnmente llamada Industria 4.0.","Para responder a esta carencia, la universidad pondrá en marcha un título que analizará de cerca estas necesidades el año siguiente: Grado en Ingeniería en Mecatrónica (y otro título propio que no es oficial: Master en Automatización Industrial) que responderá a las necesidades de INGInternet Industria, o, en su caso, 4.0 industrias."
"Horrez gain, lankidetzak egiten ditu Londreseko Imperial Collegerekin eta New Yorkeko Mount Sinai ospitalearekin, Biomaterialen, Ehunen Ingeniaritzaren eta Nanomedikuntzaren arloan ikertzeko.","Además, mantiene colaboraciones con el Imperial College de Londres, y con el hospital Mount Sinai de Nueva York investigando en las áreas de biomateriales, ingeniería de tejidos y nanomedicina.","Además, colabora con el Inperial College de Londres y con el Hospital Mount Sinai de Nueva York para investigar en el campo de Biomateriales, Ingeniería Tejidos y Nanomedicina."
Industria Kimikaren Ingeniaritzako Gradua (184kB),Grado en Ingeniería Química Industrial (184kB),Grado en Ingeniería Química Industrial (184kB)
"Ingeniaritzaren eta arkitekturaren adarrak izan du sexuaren arabera gizonen aldeko banaketa nabarmenena, haien presentzia emakumeena baino ehuneko 24 puntu handiagoa izan baita, eta osasun-zientzien adarrean emakumeen proportzioak 13 puntuan gainditu du gizonena.","La rama de ingeniería y arquitectura es la que presentó una distribución por sexo más favorable a los hombres, con una diferencia de 24 puntos porcentuales más que las mujeres, mientras que la de ciencias de la salud tuvo una proporción de mujeres que supera en 13 puntos a la de los hombres.","La rama de la ingeniería y la arquitectura ha tenido por sexo una distribución más destacada a favor de los hombres, cuya presencia ha sido un 24 por ciento mayor que la de las mujeres, y la proporción de mujeres en la rama de las ciencias sanitarias ha superado la de los hombres en 13 puntos."
"360 graduko larrialdiko balaztaren botoia: giza ingeniaritzan oinarrituta, segurtasun gailu hau larrialdia gertatu zenean erabiltzailea babesteko diseinatuta dago.","Botón de frenado de emergencia de 360 grados: Basado en la ingeniería humana, este dispositivo de seguridad está diseñado para proteger al usuario cuando ocurre una emergencia.","Botón de freno de emergencia de 360 grados: basado en ingeniería humana, este dispositivo de seguridad está diseñado para proteger al usuario cuando se produjo una emergencia."
"Eskainitako ikasketen ezaugarriak direla eta, programa honetan onartzeko lehentasuna izango dute Donostiako Enpresa Ikasketen Unibertsitate Eskolan edo Unibertsitate Eskola Politeknikoan ematen diren titulazioetako ikasleek edo halako titulazioak lortuta dituztenek; baita Bilboko eta Gasteizko Ekonomia eta Enpresa Zientzien Fakultatekoek edo Bilboko Ingeniaritza Goi Eskola Teknikokoek ere. Hala ere, eskatzaile bakoitzaren prestakuntza eta lanbide ibilbide zehatza aztertuko da programaren helburuetara egokitzen ote den ebaluatzeko.","Dadas las características de los estudios ofertados, tendrán preferencia de cara a la aceptación en este programa el alumnado y las personas Bilbao y Vitoria-Gasteiz, y en la ET Superior de Ingeniería de Bilbao; si bien en todo momento se analizará la trayectoria formativa y profesional concreta de cada solicitante para evaluar su adaptación a los objetivos del programa.","Debido a las características de los estudios ofertados, tendrán prioridad en aceptar este programa los alumnos de las titulaciones impartidas en la Escuela Universitaria de Estudios Empresariales de Donostia-San Sebastián o en la Escuela Politécnica Universitaria o en la Facultad de Ciencias Económicas y Empresariales de Bilbao y Vitoria-Gasteiz, así como los de la Escuela Técnica Superior de Ingeniería de Bilbao, sin embargo, se estudiará la formación y trayectoria profesional de cada solicitante para evaluar su adecuación a los objetivos del programa."
Parte hartzen duen zentroa: Bilboko Ingeniaritza Eskola,Centro implicado: Escuela de Ingeniería de Bilbao,Centro participante: Escuela de Ingeniería de Bilbao
"Bilbon egiten ari da egunotan EUSPEN doitasuneko ingeniaritzaren Europako elkartearen nazioarteko kongresuaren bederatzigarren edizioa, nanoteknologian, metrologian, prozesu aditiboetan, robotikan zein 4.0 industrian emandako azken aurrerapausoak aztertzeko asmoz.","Bilbao acoge estos días la décima novena edición del congreso internacional de la asociación europea de ingeniería de precisión EUSPEN, donde se están abordando los últimos avances en nanotecnología, metrología, procesos aditivos, robótica, automatización o industria 4.0.","La novena edición del congreso internacional de la asociación europea de ingeniería de precisión EUSP se está llevando a cabo estos días en Bilbao con el objetivo de analizar los últimos avances en nanotecnología, metrología, procesos adictivos, robótica o industria 4.0."
"Deustuko Informatikako Ingeniaritza: 3. tokia espainiar unibertsitateen artean, Europako Batzordeko U-Multirank-en arabera. Gradua","Deusto: 3ª mejor universidad en Informática, según el U-Multirank para España de la Comisión Europea El Grado",Ingeniería Informática de Deusto: 3o puesto entre universidades españolas por U-Multirink de la Comisión Europea.
Industria Diseinuko eta Produktu Garapeneko Ingeniaritza Gradua,Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto
"MONDRAGON ASSEMBLYk ISO 9001:2005 ziurtagiria lortu du Orangen, Frantzian, duen lantegian. Horrela, frogatuta gelditzen da bere diseinu, ingeniaritza, fabrikazio eta kudeaketa prozesuak Kalitatea Bermatzeko Sistema eraginkor, zorrotz eta oso baten arabera burutzen direla, eta, hori, kalitate handiko eta errendimendu altuko produktuetan islatzen da eta baita gure bezeroei ematen diegun arretazko zerbitzuan ere. MONDRAGON ASSEMBLY Orangek betidanik erakutsi duen kalitate maila enpresaren maila eta jarduera guztietarako kalitate politika argi eta zehaztuan gauzatzen da.","MONDRAGON ASSEMBLY, en su planta de Orange, Francia, ha obtenido la nueva certificación ISO 9001:2015, prueba de que sus procesos de diseño, ingeniería, fabricación y gestión responden a un eficaz, estricto y completo Sistema de Aseguramiento de Calidad, lo que redunda en productos de alta calidad y elevado rendimiento, así como en un esmerado servicio a nuestros clientes. El nivel de calidad que MONDRAGON ASSEMBLY Orange ha observado desde siempre está plasmado en una política de calidad clara y detallada para todos los niveles y actividades de la empresa.","MONDRAGON ASSEMBLY ha obtenido la certificación ISO 9001:2005 en Orange, Francia, donde queda demostrado que su diseño, ingeniería, fabricación y gestión se lleva a cabo en base a un Sistema de Garantía de Calidad eficiente, exigente y completo, que se refleja en productos de alta calidad y en el servicio de atención que prestamos a nuestros clientes."
"Ixaka Egurbide, Ingeniaritza Dualaren Unibertsitate Eskolako Zuzendaria.","Ixaka Egurbide, Director Escuela Universitaria de Ingeniería Dual.","Ixaka Egurbide, Directora de la Escuela Universitaria de Ingeniería Dual."
"Erdi-goi-mailakoak: Ingeniaritza teknikoko ikasketak eta perituak, Maisu-maistra ikasketak, Erizaintza eta maila bereko beste batzuk.","Medio-superiores: Diplomaturas, Estudios de Ingeniería Técnica y Peritos, Magisterio, Enfermería y otros del mismo nivel.","De grado medio-alto: estudios de Ingeniería Técnica y peritos, estudios de Magisterio, Enfermería y otros del mismo nivel."
"Matematikaren arlo hauen helburua, adibidez, modeloak, simulazioak, eta ezagutza aurreratuen hainbat esparruetan ingeniaritzatik eratorritako prozesuen kontrola hobetzea da; hala nola, hegazkintzan, sare eragileetan, nahiz jokabide sozialean.","Estos campos matemáticos buscan, por ejemplo, mejorar los modelos, las simulaciones y el control de los procesos derivados de la ingeniería en muchas áreas de conocimiento avanzado como la aviación, las redes de influencia o el comportamiento social.","El objetivo de estos campos de la matemática es mejorar el control de procesos derivados de la ingeniería en modelos, simulaciones, y en diferentes ámbitos de conocimiento avanzado, como la aviación, las redes operativas, o el comportamiento social."
"HELBURUA: UPV/EHU – Gasteizko Ingeniaritza Eskolako “Ingeniaritza Mekanikoko Gradu”ko ikasleek, Titulazio Bikoitzaren programaren ikasgaiak gaindituz gero, lortuko dute USACH–eko “Ingeniería en Ejecución en la especialidad de Mecánica” titulua.","USACH (Universidad Mecánica” de la UPV/EHU (Escuela de Ingeniería de Vitoria-Gasteiz), tras superar las asignaturas del programa de Doble Titulación, obtendrán también la carrera de “Ingeniería en Ejecución en la especialidad de Mecánica” de la USACH (Facultad de Ingeniería).","OBJETIVO: La UPV/EHU - Alumnos de Grado en Ingeniería Mecánica de la Escuela de Ingeniería de Vitoria-Gasteiz, con el objetivo de superar las asignaturas del programa de Doble Titulación, obtendrán el título INGENIría en Investigación en la Especialidad de Mecánica1900."
Esperientzia 3: Prozesuen berringeniaritza.,Experiencia 3: Reingeniería de procesos,Experiencia 3: Reingeniería de procesos.
